Target gene	Representative transcript	Conserved sites				Poorly conserved sites				Repre- sentative miRNA	Total context+ score	Aggregate PCT	Previous TargetScan publication(s)	Links to sites in UTRs
TCEB1	NM_001204857	1	0	1	0	0	0	0	0	hsa-miR-155	-0.13	0.28		Sites in UTR
PKN2	NM_006256	1	1	0	0	0	0	0	0	hsa-miR-155	-0.13	0.14	"2007, 2009"	Sites in UTR
BRWD1	NM_033656	1	0	1	0	1	0	0	1	hsa-miR-155	-0.13	0.33	2009	Sites in UTR
CAB39	NM_001130849	1	1	0	0	0	0	0	0	hsa-miR-155	-0.13	0.44	"2005, 2007, 2009"	Sites in UTR
OLFML3	NM_020190	1	0	0	1	0	0	0	0	hsa-miR-155	-0.13	0.55	"2005, 2007, 2009"	Sites in UTR
ACTR10	NM_018477	1	0	0	1	0	0	0	0	hsa-miR-155	-0.13	0.49		Sites in UTR
PDK1	NM_002610	1	1	0	0	0	0	0	0	hsa-miR-155	-0.13	< 0.1		Sites in UTR
RAB6A	NM_002869	1	0	1	0	0	0	0	0	hsa-miR-155	-0.13	0.28	"2005, 2007"	Sites in UTR
CHCHD7	NM_001011667	1	0	0	1	0	0	0	0	hsa-miR-155	-0.12	0.55	"2007, 2009"	Sites in UTR
RSPO2	NM_178565	1	0	0	1	0	0	0	0	hsa-miR-155	-0.12	0.55	"2007, 2009"	Sites in UTR
RAB34	NM_001142624	1	0	0	1	0	0	0	0	hsa-miR-155	-0.12	0.55	"2005, 2007, 2009"	Sites in UTR
C10orf12	NM_015652	1	0	0	1	0	0	0	0	hsa-miR-155	-0.12	0.51	"2005, 2007"	Sites in UTR
VTI1A	NM_145206	1	0	0	1	0	0	0	0	hsa-miR-155	-0.12	0.55	"2007, 2009"	Sites in UTR
SYVN1	NM_032431	1	0	0	1	0	0	0	0	hsa-miR-155	-0.12	0.55	"2005, 2007, 2009"	Sites in UTR
RNF149	NM_173647	1	1	0	0	0	0	0	0	hsa-miR-155	-0.12	0.28	2009	Sites in UTR
NOVA1	NM_002515	1	0	1	0	0	0	0	0	hsa-miR-155	-0.12	0.28	"2005, 2007, 2009"	Sites in UTR
ZBTB39	NM_014830	1	1	0	0	1	0	1	0	hsa-miR-155	-0.12	0.11		Sites in UTR
KCTD7	NM_001167961	1	0	0	1	1	0	0	1	hsa-miR-155	-0.12	0.58		Sites in UTR
CARD11	NM_032415	1	0	0	1	0	0	0	0	hsa-miR-155	-0.12	0.55	"2005, 2007, 2009"	Sites in UTR
F13A1	NM_000129	1	0	1	0	0	0	0	0	hsa-miR-155	-0.12	0.28	2009	Sites in UTR
KIAA1267	NM_001193465	1	0	0	1	0	0	0	0	hsa-miR-155	-0.12	0.55	"2007, 2009"	Sites in UTR
NGEF	NM_001114090	1	0	0	1	0	0	0	0	hsa-miR-155	-0.12	0.55	2007	Sites in UTR
CD99L2	NM_001184808	1	0	0	1	0	0	0	0	hsa-miR-155	-0.12	0.55		Sites in UTR
TRIM44	NM_017583	1	1	0	0	0	0	0	0	hsa-miR-155	-0.12	0.62		Sites in UTR
MAP4K4	NM_001242559	1	0	0	1	0	0	0	0	hsa-miR-155	-0.12	0.5		Sites in UTR
C1QL2	NM_182528	1	0	0	1	0	0	0	0	hsa-miR-155	-0.12	0.53	"2005, 2007, 2009"	Sites in UTR
SCN1A	NM_001165963	1	0	1	0	0	0	0	0	hsa-miR-155	-0.12	0.28	2009	Sites in UTR
ST8SIA2	NM_006011	1	0	1	0	0	0	0	0	hsa-miR-155	-0.12	0.28	2009	Sites in UTR
ETNK2	NM_018208	1	0	0	1	0	0	0	0	hsa-miR-155	-0.12	0.55	"2005, 2007, 2009"	Sites in UTR
DNAJB7	NM_145174	1	0	1	0	0	0	0	0	hsa-miR-155	-0.11	0.28	"2005, 2007, 2009"	Sites in UTR
INPP5D	NM_001017915	1	1	0	0	0	0	0	0	hsa-miR-155	-0.11	0.58	"2007, 2009"	Sites in UTR
PDE7A	NM_001242318	1	0	1	0	0	0	0	0	hsa-miR-155	-0.11	0.28		Sites in UTR
ZSWIM6	NM_020928	1	1	0	0	0	0	0	0	hsa-miR-155	-0.11	0.18		Sites in UTR
C14orf147	NM_138288	1	0	1	0	1	0	0	1	hsa-miR-155	-0.11	0.33	2009	Sites in UTR
KLHL32	NM_052904	1	0	1	0	0	0	0	0	hsa-miR-155	-0.11	0.28		Sites in UTR
THAP6	NM_144721	1	0	1	0	0	0	0	0	hsa-miR-155	-0.11	0.28	2009	Sites in UTR
RHEB	NM_005614	1	0	0	1	0	0	0	0	hsa-miR-155	-0.11	0.55	2009	Sites in UTR
MID2	NM_012216	1	0	0	1	0	0	0	0	hsa-miR-155	-0.11	0.55		Sites in UTR
IL6R	NM_000565	1	1	0	0	0	0	0	0	hsa-miR-155	-0.11	0.48		Sites in UTR
PDS5A	NM_001100399	1	0	1	0	0	0	0	0	hsa-miR-155	-0.11	0.28		Sites in UTR
FEZ2	NM_001042548	1	0	1	0	0	0	0	0	hsa-miR-155	-0.1	0.28	2009	Sites in UTR
SIRT1	NM_001142498	1	0	1	0	0	0	0	0	hsa-miR-155	-0.1	0.28	2009	Sites in UTR
EHD1	NM_006795	1	0	0	1	0	0	0	0	hsa-miR-155	-0.1	0.55	"2005, 2007, 2009"	Sites in UTR
AGL	NM_000028	1	0	1	0	0	0	0	0	hsa-miR-155	-0.1	0.28		Sites in UTR
ITK	NM_005546	1	0	1	0	0	0	0	0	hsa-miR-155	-0.1	0.28	"2005, 2007, 2009"	Sites in UTR
MGP	NM_000900	1	0	1	0	0	0	0	0	hsa-miR-155	-0.1	0.28		Sites in UTR
IGDCC4	NM_020962	1	0	1	0	0	0	0	0	hsa-miR-155	-0.1	0.28		Sites in UTR
CREB1	NM_004379	1	0	0	1	1	0	0	1	hsa-miR-155	-0.1	0.58		Sites in UTR
LAMP2	NM_002294	1	1	0	0	2	0	1	1	hsa-miR-155	-0.1	0.24	2009	Sites in UTR
BRWD3	NM_153252	1	0	0	1	1	0	0	1	hsa-miR-155	-0.1	0.71		Sites in UTR
ATP6V1C1	NM_001695	1	0	0	1	0	0	0	0	hsa-miR-155	-0.1	0.53		Sites in UTR
FAM104A	NM_001098832	1	0	1	0	0	0	0	0	hsa-miR-155	-0.1	0.28		Sites in UTR
PANK1	NM_138316	1	0	0	1	1	0	1	0	hsa-miR-155	-0.1	0.58	"2005, 2007"	Sites in UTR
SUFU	NM_016169	1	0	0	1	0	0	0	0	hsa-miR-155	-0.1	0.55	"2005, 2007, 2009"	Sites in UTR
TOMM34	NM_006809	1	0	0	1	0	0	0	0	hsa-miR-155	-0.1	0.48		Sites in UTR
C8orf4	NM_020130	1	0	1	0	0	0	0	0	hsa-miR-155	-0.1	0.28		Sites in UTR
COPS3	NM_001199125	1	0	0	1	0	0	0	0	hsa-miR-155	-0.1	0.55	"2005, 2007"	Sites in UTR
YWHAZ	NM_001135699	1	1	0	0	0	0	0	0	hsa-miR-155	-0.1	0.17	"2005, 2007, 2009"	Sites in UTR
LNX2	NM_153371	1	1	0	0	0	0	0	0	hsa-miR-155	-0.1	< 0.1		Sites in UTR
SOX10	NM_006941	1	0	0	1	0	0	0	0	hsa-miR-155	-0.09	0.55	"2005, 2007, 2009"	Sites in UTR
HOOK1	NM_015888	1	0	1	0	0	0	0	0	hsa-miR-155	-0.09	0.28	2009	Sites in UTR
FBXO33	NM_203301	1	1	0	0	0	0	0	0	hsa-miR-155	-0.09	0.28	"2005, 2007, 2009"	Sites in UTR
SLC39A10	NM_001127257	1	1	0	0	0	0	0	0	hsa-miR-155	-0.09	< 0.1	"2005, 2007, 2009"	Sites in UTR
CTTNBP2NL	NM_018704	1	1	0	0	2	0	0	2	hsa-miR-155	-0.09	0.44		Sites in UTR
NUDT4	NM_019094	1	0	1	0	0	0	0	0	hsa-miR-155	-0.09	0.28	2009	Sites in UTR
EHF	NM_001206615	1	0	0	1	0	0	0	0	hsa-miR-155	-0.09	0.55	"2005, 2007, 2009"	Sites in UTR
KAT2A	NM_021078	1	0	0	1	0	0	0	0	hsa-miR-155	-0.09	0.54	"2005, 2007"	Sites in UTR
PIK3R1	NM_001242466	1	0	1	0	0	0	0	0	hsa-miR-155	-0.09	0.28	2009	Sites in UTR
KPNA1	NM_002264	1	0	0	1	2	1	0	1	hsa-miR-155	-0.09	0.74	"2005, 2007, 2009"	Sites in UTR
SOCS6	NM_004232	1	0	0	1	0	0	0	0	hsa-miR-155	-0.09	0.55	"2007, 2009"	Sites in UTR
UST	NM_005715	1	0	0	1	0	0	0	0	hsa-miR-155	-0.09	0.55	"2005, 2007, 2009"	Sites in UTR
RAP1B	NM_001010942	1	0	0	1	0	0	0	0	hsa-miR-155	-0.09	0.55	2009	Sites in UTR
HCFC2	NM_013320	1	0	1	0	1	0	0	1	hsa-miR-155	-0.09	0.41		Sites in UTR
ZNF644	NM_016620	1	0	0	1	0	0	0	0	hsa-miR-155	-0.09	0.55	"2005, 2007, 2009"	Sites in UTR
PHF17	NM_199320	1	1	0	0	0	0	0	0	hsa-miR-155	-0.09	0.25	"2007, 2009"	Sites in UTR
C9orf69	NM_152833	1	0	0	1	0	0	0	0	hsa-miR-155	-0.08	0.55	2009	Sites in UTR
BCORL1	NM_021946	1	0	1	0	0	0	0	0	hsa-miR-155	-0.08	0.28	"2005, 2007, 2009"	Sites in UTR
FUBP1	NM_003902	1	0	0	1	0	0	0	0	hsa-miR-155	-0.08	0.46	2007	Sites in UTR
ZNF238	NM_006352	1	0	1	0	0	0	0	0	hsa-miR-155	-0.08	0.28	"2005, 2007, 2009"	Sites in UTR
HSDL1	NM_001146051	1	0	1	0	0	0	0	0	hsa-miR-155	-0.08	0.28		Sites in UTR
TM9SF3	NM_020123	1	0	1	0	1	1	0	0	hsa-miR-155	-0.08	0.32		Sites in UTR
BPIL1	NM_025227	1	0	0	1	0	0	0	0	hsa-miR-155	-0.08	0.53		Sites in UTR
NUFIP2	NM_020772	1	0	1	0	1	0	1	0	hsa-miR-155	-0.08	0.32	"2007, 2009"	Sites in UTR
NFASC	NM_001005388	1	0	0	1	0	0	0	0	hsa-miR-155	-0.08	0.55	2009	Sites in UTR
UQCR11	NM_006830	1	0	0	1	0	0	0	0	hsa-miR-155	-0.08	0.52	2009	Sites in UTR
NR1H3	NM_001130101	1	0	0	1	0	0	0	0	hsa-miR-155	-0.08	0.49		Sites in UTR
INADL	NM_176877	1	0	0	1	1	0	1	0	hsa-miR-155	-0.08	0.58	2009	Sites in UTR
SFXN2	NM_178858	1	0	0	1	0	0	0	0	hsa-miR-155	-0.08	0.47		Sites in UTR
ZNRF3	NM_001206998	1	0	0	1	0	0	0	0	hsa-miR-155	-0.08	0.55	2009	Sites in UTR
PEA15	NM_003768	1	1	0	0	0	0	0	0	hsa-miR-155	-0.08	0.23	2009	Sites in UTR
PARD3B	NM_057177	1	1	0	0	2	0	1	1	hsa-miR-155	-0.08	0.18		Sites in UTR
MON1A	NM_001142501	1	0	0	1	0	0	0	0	hsa-miR-155	-0.07	0.55	"2005, 2007, 2009"	Sites in UTR
MEX3B	NM_032246	1	0	0	1	0	0	0	0	hsa-miR-155	-0.07	0.47	"2005, 2007"	Sites in UTR
IL13	NM_002188	1	0	1	0	0	0	0	0	hsa-miR-155	-0.07	0.28		Sites in UTR
LOC221710	NM_001135575	1	1	0	0	0	0	0	0	hsa-miR-155	-0.07	< 0.1		Sites in UTR
SALL1	NM_001127892	1	0	0	1	0	0	0	0	hsa-miR-155	-0.07	0.53	"2005, 2007, 2009"	Sites in UTR
CCNT2	NM_001241	1	0	1	0	1	0	1	0	hsa-miR-155	-0.07	0.32		Sites in UTR
ARRB2	NM_004313	1	0	0	1	0	0	0	0	hsa-miR-155	-0.07	0.55	2009	Sites in UTR
EMP2	NM_001424	1	0	0	1	0	0	0	0	hsa-miR-155	-0.07	0.55		Sites in UTR
TBC1D15	NM_001146213	1	0	0	1	1	1	0	0	hsa-miR-155	-0.07	0.57		Sites in UTR
BCAT1	NM_001178091	1	0	1	0	3	0	2	1	hsa-miR-155	> -0.07	0.4	"2007, 2009"	Sites in UTR
MAFB	NM_005461	1	0	0	1	0	0	0	0	hsa-miR-155	-0.07	0.55	"2005, 2007, 2009"	Sites in UTR
CTLA4	NM_001037631	1	0	1	0	0	0	0	0	hsa-miR-155	-0.07	0.28	"2005, 2007"	Sites in UTR
ANTXR1	NM_032208	1	1	0	0	0	0	0	0	hsa-miR-155	-0.07	0.28	2009	Sites in UTR
SPIN3	NM_001010862	1	1	0	0	1	1	0	0	hsa-miR-155	-0.07	< 0.1	2009	Sites in UTR
KPNA4	NM_002268	1	0	0	1	0	0	0	0	hsa-miR-155	-0.07	0.55	"2005, 2007, 2009"	Sites in UTR
ZFP3	NM_153018	1	1	0	0	0	0	0	0	hsa-miR-155	-0.07	0.28		Sites in UTR
SPOCK1	NM_004598	1	1	0	0	0	0	0	0	hsa-miR-155	-0.07	< 0.1	2009	Sites in UTR
CXorf23	NM_198279	1	0	1	0	1	0	1	0	hsa-miR-155	-0.06	0.32		Sites in UTR
TSPAN14	NM_001128309	1	1	0	0	1	0	0	1	hsa-miR-155	-0.06	0.13	"2007, 2009"	Sites in UTR
RAPGEF5	NM_012294	1	0	0	1	0	0	0	0	hsa-miR-155	-0.06	0.55	2009	Sites in UTR
SKI	NM_003036	1	0	1	0	0	0	0	0	hsa-miR-155	-0.06	0.28	"2005, 2007, 2009"	Sites in UTR
ZNF703	NM_025069	1	0	0	1	0	0	0	0	hsa-miR-155	-0.06	0.55	"2007, 2009"	Sites in UTR
NR1D2	NM_001145425	1	0	1	0	0	0	0	0	hsa-miR-155	-0.06	0.28		Sites in UTR
PAPLN	NM_173462	1	0	1	0	0	0	0	0	hsa-miR-155	-0.06	0.28		Sites in UTR
NKX3-1	NM_006167	1	1	0	0	0	0	0	0	hsa-miR-155	-0.06	0.11	2009	Sites in UTR
SIM2	NM_005069	1	0	0	1	0	0	0	0	hsa-miR-155	-0.06	0.52	"2005, 2007"	Sites in UTR
YWHAE	NM_006761	1	0	1	0	0	0	0	0	hsa-miR-155	-0.06	0.28	"2005, 2007, 2009"	Sites in UTR
RPTOR	NM_001163034	1	0	1	0	0	0	0	0	hsa-miR-155	-0.06	0.28		Sites in UTR
SETD7	NM_030648	1	0	0	1	2	0	0	2	hsa-miR-155	-0.06	0.55		Sites in UTR
KLHL8	NM_020803	1	0	1	0	0	0	0	0	hsa-miR-155	-0.06	0.28		Sites in UTR
CCND1	NM_053056	1	0	0	1	0	0	0	0	hsa-miR-155	-0.06	0.54	2009	Sites in UTR
ACVR2A	NM_001616	1	0	1	0	0	0	0	0	hsa-miR-155	-0.06	0.28	2007	Sites in UTR
GPR85	NM_001146265	1	0	1	0	0	0	0	0	hsa-miR-155	-0.06	0.28	"2005, 2007"	Sites in UTR
C6orf89	NM_152734	1	0	1	0	0	0	0	0	hsa-miR-155	-0.05	0.28		Sites in UTR
TRIM2	NM_001130067	1	0	1	0	0	0	0	0	hsa-miR-155	-0.05	0.28	"2005, 2007, 2009"	Sites in UTR
C5orf64	NM_173667	1	1	0	0	0	0	0	0	hsa-miR-155	-0.05	0.16	"2005, 2007, 2009"	Sites in UTR
SERTAD2	NM_014755	1	0	0	1	1	0	0	1	hsa-miR-155	-0.05	0.57	"2005, 2007"	Sites in UTR
SATB2	NM_001172509	1	1	0	0	1	0	1	0	hsa-miR-155	> -0.05	0.11		Sites in UTR
HDAC4	NM_006037	1	1	0	0	1	0	1	0	hsa-miR-155	> -0.05	0.35	"2005, 2007"	Sites in UTR
ACVR2B	NM_001106	1	1	0	0	1	0	1	0	hsa-miR-155	> -0.05	0.32	2009	Sites in UTR
PEG10	NM_001040152	1	0	1	0	1	1	0	0	hsa-miR-155	> -0.05	0.28		Sites in UTR
DCUN1D3	NM_173475	1	0	0	1	0	0	0	0	hsa-miR-155	-0.05	0.55	"2007, 2009"	Sites in UTR
DOK6	NM_152721	1	0	0	1	1	0	0	1	hsa-miR-155	-0.05	0.58		Sites in UTR
LRRC59	NM_018509	1	1	0	0	0	0	0	0	hsa-miR-155	-0.05	0.51	"2007, 2009"	Sites in UTR
ABL2	NM_001136000	1	1	0	0	1	0	0	1	hsa-miR-155	-0.05	0.66		Sites in UTR
RLIM	NM_016120	1	0	0	1	0	0	0	0	hsa-miR-155	-0.05	0.55		Sites in UTR
SOS1	NM_005633	1	0	0	1	1	0	0	1	hsa-miR-155	-0.05	0.55	2009	Sites in UTR
PEG3	NM_001146184	1	0	1	0	1	0	0	1	hsa-miR-155	-0.05	0.33		Sites in UTR
CSF2RB	NM_000395	1	0	0	1	0	0	0	0	hsa-miR-155	-0.04	0.52		Sites in UTR
PSKH1	NM_006742	1	1	0	0	0	0	0	0	hsa-miR-155	-0.04	0.28	"2005, 2007, 2009"	Sites in UTR
OSBPL2	NM_014835	1	0	0	1	0	0	0	0	hsa-miR-155	-0.04	0.55	2009	Sites in UTR
UNC5C	NM_003728	1	0	1	0	1	0	1	0	hsa-miR-155	> -0.04	0.32		Sites in UTR
SHANK2	NM_012309	1	0	1	0	1	0	1	0	hsa-miR-155	> -0.04	0.32	2009	Sites in UTR
LCOR	NM_001170765	1	0	1	0	1	0	1	0	hsa-miR-155	> -0.04	0.32		Sites in UTR
GATAD2B	NM_020699	1	0	1	0	1	0	1	0	hsa-miR-155	> -0.04	0.28	2009	Sites in UTR
IL6ST	NM_001190981	1	0	1	0	2	0	0	2	hsa-miR-155	> -0.04	0.62		Sites in UTR
SPRED1	NM_152594	1	0	0	1	2	0	1	1	hsa-miR-155	> -0.04	0.61	"2005, 2007"	Sites in UTR
WNK1	NM_001184985	1	0	1	0	0	0	0	0	hsa-miR-155	-0.04	0.28	2009	Sites in UTR
ENTPD7	NM_020354	1	0	0	1	1	0	0	1	hsa-miR-155	-0.04	0.54		Sites in UTR
TRAK2	NM_015049	1	0	1	0	1	0	0	1	hsa-miR-155	-0.04	0.33		Sites in UTR
NAA50	NM_025146	1	0	0	1	0	0	0	0	hsa-miR-155	-0.04	0.52		Sites in UTR
PAM	NM_000919	1	0	1	0	0	0	0	0	hsa-miR-155	-0.04	0.28		Sites in UTR
USP9X	NM_001039590	1	1	0	0	0	0	0	0	hsa-miR-155	-0.04	< 0.1	2007	Sites in UTR
EPAS1	NM_001430	1	0	0	1	0	0	0	0	hsa-miR-155	-0.03	0.48	2009	Sites in UTR
TGFBR2	NM_001024847	1	0	1	0	0	0	0	0	hsa-miR-155	-0.03	0.28	2009	Sites in UTR
N4BP1	NM_153029	1	0	1	0	0	0	0	0	hsa-miR-155	-0.03	0.28	"2005, 2007, 2009"	Sites in UTR
RHOQ	NM_012249	1	0	0	1	0	0	0	0	hsa-miR-155	-0.03	0.55		Sites in UTR
TSGA14	NM_018718	1	1	0	0	0	0	0	0	hsa-miR-155	-0.03	0.16	"2005, 2007, 2009"	Sites in UTR
CA13	NM_198584	1	1	0	0	0	0	0	0	hsa-miR-155	> -0.03	< 0.1	2009	Sites in UTR
SOX1	NM_005986	1	1	0	0	0	0	0	0	hsa-miR-155	> -0.03	0.64	"2005, 2007, 2009"	Sites in UTR
C1orf183	NM_019099	1	1	0	0	0	0	0	0	hsa-miR-155	> -0.03	0.53		Sites in UTR
SHOX	NM_000451	1	1	0	0	0	0	0	0	hsa-miR-155	> -0.03	0.4	2009	Sites in UTR
TADA2B	NM_152293	1	1	0	0	0	0	0	0	hsa-miR-155	> -0.03	0.28	2009	Sites in UTR
NAV3	NM_014903	1	1	0	0	0	0	0	0	hsa-miR-155	> -0.03	0.13	"2005, 2007, 2009"	Sites in UTR
GOLGA3	NM_005895	1	1	0	0	0	0	0	0	hsa-miR-155	> -0.03	0.11	2009	Sites in UTR
SLC35E2	NM_182838	1	1	0	0	0	0	0	0	hsa-miR-155	> -0.03	< 0.1		Sites in UTR
TIA1	NM_022037	1	1	0	0	0	0	0	0	hsa-miR-155	> -0.03	< 0.1		Sites in UTR
SLC35E2B	NM_001110781	1	1	0	0	0	0	0	0	hsa-miR-155	> -0.03	< 0.1	2009	Sites in UTR
GRSF1	NM_001098477	1	1	0	0	0	0	0	0	hsa-miR-155	> -0.03	< 0.1		Sites in UTR
HMGB3	NM_005342	1	1	0	0	0	0	0	0	hsa-miR-155	> -0.03	< 0.1	2009	Sites in UTR
USP31	NM_020718	1	1	0	0	0	0	0	0	hsa-miR-155	> -0.03	< 0.1	2009	Sites in UTR
PAK2	NM_002577	1	1	0	0	0	0	0	0	hsa-miR-155	> -0.03	< 0.1		Sites in UTR
C9orf5	NM_032012	1	0	0	1	1	0	1	0	hsa-miR-155	> -0.03	0.55	2009	Sites in UTR
KIAA1462	NM_020848	1	0	0	1	1	0	1	0	hsa-miR-155	> -0.03	0.52		Sites in UTR
FAM190B	NM_018999	1	0	0	1	1	0	1	0	hsa-miR-155	> -0.03	0.5		Sites in UTR
SSH2	NM_033389	1	0	1	0	1	0	0	1	hsa-miR-155	> -0.03	0.33	"2005, 2007"	Sites in UTR
KCNA1	NM_000217	1	0	1	0	1	0	0	1	hsa-miR-155	> -0.03	0.33	"2007, 2009"	Sites in UTR
SORL1	NM_003105	1	0	0	1	0	0	0	0	hsa-miR-155	-0.03	0.48		Sites in UTR
TFDP2	NM_001178138	1	0	0	1	0	0	0	0	hsa-miR-155	-0.02	0.55	"2005, 2007"	Sites in UTR
HAPLN2	NM_021817	1	0	0	1	0	0	0	0	hsa-miR-155	-0.02	0.54		Sites in UTR
APC	NM_000038	1	0	0	1	0	0	0	0	hsa-miR-155	-0.02	0.54	"2005, 2007"	Sites in UTR
DUSP7	NM_001947	1	0	1	0	0	0	0	0	hsa-miR-155	> -0.02	0.28		Sites in UTR
ETV1	NM_001163147	1	0	1	0	0	0	0	0	hsa-miR-155	> -0.02	0.28	2009	Sites in UTR
MFAP3	NM_001135037	1	0	1	0	0	0	0	0	hsa-miR-155	> -0.02	0.28		Sites in UTR
PURB	NM_033224	1	0	1	0	0	0	0	0	hsa-miR-155	> -0.02	0.28		Sites in UTR
NFAT5	NM_001113178	1	0	1	0	0	0	0	0	hsa-miR-155	> -0.02	0.28	"2005, 2007, 2009"	Sites in UTR
ZMYND11	NM_001202464	1	0	1	0	0	0	0	0	hsa-miR-155	> -0.02	0.28		Sites in UTR
ELL2	NM_012081	1	0	1	0	0	0	0	0	hsa-miR-155	> -0.02	0.28	"2005, 2007, 2009"	Sites in UTR
STK38L	NM_015000	1	0	1	0	0	0	0	0	hsa-miR-155	> -0.02	0.28		Sites in UTR
CAMTA1	NM_015215	1	0	1	0	0	0	0	0	hsa-miR-155	> -0.02	0.28	"2005, 2007, 2009"	Sites in UTR
PDPR	NM_017990	1	0	1	0	0	0	0	0	hsa-miR-155	> -0.02	0.28		Sites in UTR
VPS53	NM_001128159	1	0	1	0	0	0	0	0	hsa-miR-155	> -0.02	0.28		Sites in UTR
CHD7	NM_017780	1	0	1	0	0	0	0	0	hsa-miR-155	> -0.02	0.28	"2005, 2007, 2009"	Sites in UTR
SMARCAD1	NM_001128429	1	0	1	0	0	0	0	0	hsa-miR-155	> -0.02	0.28	2009	Sites in UTR
APBB2	NM_001166050	1	0	0	1	1	0	0	1	hsa-miR-155	> -0.02	0.56		Sites in UTR
ASXL1	NM_015338	1	0	0	1	0	0	0	0	hsa-miR-155	-0.02	0.53	2009	Sites in UTR
CACNA1C	NM_000719	1	0	0	1	0	0	0	0	hsa-miR-155	> -0.01	0.55	"2005, 2007, 2009"	Sites in UTR
ULK2	NM_014683	1	0	0	1	0	0	0	0	hsa-miR-155	> -0.01	0.55		Sites in UTR
MARK2	NM_001039469	1	0	0	1	0	0	0	0	hsa-miR-155	> -0.01	0.55		Sites in UTR
SH3PXD2A	NM_014631	1	0	0	1	0	0	0	0	hsa-miR-155	> -0.01	0.55	2009	Sites in UTR
MAP3K13	NM_001242314	1	0	0	1	0	0	0	0	hsa-miR-155	> -0.01	0.55		Sites in UTR
TMEM136	NM_001198670	1	0	0	1	0	0	0	0	hsa-miR-155	> -0.01	0.55		Sites in UTR
DGKB	NM_004080	1	0	0	1	0	0	0	0	hsa-miR-155	> -0.01	0.55		Sites in UTR
PTPRJ	NM_002843	1	0	0	1	0	0	0	0	hsa-miR-155	> -0.01	0.53		Sites in UTR
PALM2	NM_001037293	1	0	0	1	0	0	0	0	hsa-miR-155	> -0.01	0.52	2009	Sites in UTR
FOXK1	NM_001037165	1	0	0	1	0	0	0	0	hsa-miR-155	> -0.01	0.5	"2007, 2009"	Sites in UTR
EBF1	NM_024007	1	0	0	1	0	0	0	0	hsa-miR-155	> -0.01	0.49		Sites in UTR
STX6	NM_005819	1	0	0	1	0	0	0	0	hsa-miR-155	> -0.01	0.47	2009	Sites in UTR
