"RefSeq.mRNA" "Transcript_length" "UTR_length"
"2598" "NM_003888" 4098 1772
"2599" "NM_033286" 1714 647
"2600" "NM_001018108" 1537 821
"2601" "NM_017882" 2243 1147
"2602" "NM_006628" 5301 4689
"2603" "NM_017684" 13300 2067
"2604" "NM_005545" 2371 726
"2605" "NM_020147" 2399 1111
"2606" "NM_016201" 4488 1830
"2607" "NM_016557" 1914 764
"2608" "NM_178445" 1914 764
"2609" "NM_003925" 2470 550
"2610" "NM_016451" 3481 317
"2611" "NM_002478" 1801 622
"2612" "NM_004179" 5325 3426
"2613" "NM_024680" 3240 122
"2614" "NM_006942" 1396 199
"2615" "NM_001195228" 1473 642
"2616" "NM_004505" 7976 2055
"2617" "NM_014519" 2179 188
"2618" "NM_001033054" 2783 1721
"2619" "NM_001251" 1878 601
"2620" "NM_032731" 2219 1521
"2621" "NM_001678" 3153 1872
"2622" "NM_004860" 2957 599
"2623" "NM_004870" 1601 640
"2624" "NM_003882" 3844 2633
"2625" "" 1672 89
"2626" "" 1672 279
"2627" "NM_031209" 1317 94
"2628" "NM_153464" 3035 892
"2629" "NM_005498" 1749 393
"2630" "NM_153332" 4615 3304
"2631" "NM_002975" 1419 249
"2632" "NM_014441" 1690 230
"2633" "" 1602 702
"2634" "" 1602 77
"2635" "" 1602 33
"2636" "NM_001320043" 4749 1898
"2637" "NM_004554" 4749 1898
"2638" "NM_001256678" 6118 4047
"2639" "NM_001836" 937 162
"2640" "NM_001009182" 1094 295
"2641" "NM_005794" 1705 385
"2642" "NM_004050" 3605 2793
"2643" "NM_001199839" 3605 2793
"2644" "NM_005484" 1886 106
"2645" "NM_004496" 2862 1380
"2646" "NM_018453" 1321 380
"2647" "NM_022073" 2709 1659
"2648" "NM_144568" 1961 839
"2649" "NM_006156" 708 274
"2650" "NM_001344" 731 43
"2651" "NM_001344" 731 232
"2652" "NM_001801" 1860 699
"2653" "" 13438 29
"2654" "" 13438 12621
"2655" "NM_001256253" 2939 429
"2656" "NM_001166579" 1913 146
"2657" "NM_004840" 6019 2481
"2658" "NM_004314" 1312 226
"2659" "NM_020402" 1945 519
"2660" "NM_001008" 1305 373
"2661" "NM_181880" 550 98
"2662" "NM_004679" 550 98
"2663" "NM_001006117" 1886 277
"2664" "NM_001190811" 3104 1867
"2665" "NM_001318852" 5661 1492
"2666" "NM_015133" 5661 1492
"2667" "NM_199054" 3774 2130
"2668" "NM_031918" 2890 2059
"2669" "" 2346 122
"2670" "NM_031304" 1757 670
"2671" "NM_001185097" 503 72
"2672" "NM_000207" 503 72
"2673" "NM_031213" 1630 223
"2674" "NM_002968" 5146 1136
"2675" "NM_001160103" 18281 15844
"2676" "NM_024824" 18281 15844
"2677" "" 3492 627
"2678" "NM_005570" 5521 3269
"2679" "NM_024057" 1203 156
"2680" "NM_015263" 10672 1272
"2681" "NM_004949" 4826 9
"2682" "NM_004949" 4826 2238
"2683" "NM_015305" 5176 3049
"2684" "NM_001161576" 6565 4366
"2685" "NM_017512" 1867 445
"2686" "NM_001297" 5641 1823
"2687" "NM_030911" 3386 1727
"2688" "NM_001193478" 3386 1727
"2689" "NM_052867" 6818 1518
"2690" "NM_020314" 3894 686
"2691" "" 7084 687
"2692" "NM_024535" 3540 615
"2693" "NM_014692" 6459 4187
"2694" "" 4769 672
"2695" "NM_025245" 1724 311
"2696" "NM_024612" 3660 1172
"2697" "NM_020234" 13776 12653
"2698" "NM_001271938" 9549 1010
"2699" "NM_013359" 2535 352
"2700" "NM_001194" 3408 684
"2701" "" 1501 211
"2702" "NM_032880" 1943 155
"2703" "NM_001014999" 1091 94
"2704" "" 4255 307
"2705" "NM_001290256" 6725 4548
"2706" "NM_024552" 1797 311
"2707" "NM_006863" 1910 257
"2708" "NM_006866" 4429 2940
"2709" "" 1799 213
"2710" "NM_016437" 1761 205
"2711" "NM_001070" 1611 192
"2712" "NM_006684" 1292 226
"2713" "NM_001020" 560 65
"2714" "NM_014975" 4833 80
"2715" "NM_022737" 2727 1318
"2716" "NM_001056" 2795 1450
"2717" "NM_022346" 4661 1436
"2718" "NM_014857" 2899 276
"2719" "NM_020728" 5960 3211
"2720" "NM_000697" 2358 312
"2721" "NM_183412" 1896 983
"2722" "NM_001304791" 2903 2052
"2723" "NM_033182" 2903 2052
"2724" "NM_024743" 2965 1349
"2725" "NM_014244" 6754 3015
"2726" "NM_022493" 2112 663
"2727" "NM_000517" 605 109
"2728" "NM_182916" 2276 868
"2729" "" 1901 331
"2730" "NM_019030" 4502 242
"2731" "NM_024119" 2617 356
"2732" "NM_000223" 1867 357
"2733" "NM_002277" 1596 291
"2734" "NM_002279" 1607 341
"2735" "NM_000532" 1833 142
"2736" "NM_020340" 14877 8176
"2737" "" 5692 1865
"2738" "NM_024553" 1193 80
"2739" "NM_003794" 2513 1134
"2740" "NM_001012337" 1026 133
"2741" "NM_024915" 5239 3022
"2742" "NM_172218" 3748 880
"2743" "NM_015713" 4931 3630
"2744" "NM_015178" 5451 2729
"2745" "NM_002880" 3300 912
"2746" "NM_198795" 4510 786
"2747" "NM_004268" 4874 2630
"2748" "NM_001135920" 4127 343
"2749" "NM_006089" 4200 1936
"2750" "NM_152315" 1888 252
"2751" "NM_001324292" 3997 645
"2752" "NM_001257237" 3997 645
"2753" "NM_006292" 1824 234
"2754" "NM_014550" 3934 794
"2755" "NM_015264" 2723 1347
"2756" "NM_021931" 3325 1179
"2757" "NM_015638" 3226 741
"2758" "NM_001113756" 1630 17
"2759" "NM_001257988" 1630 17
"2760" "NM_001953" 1630 17
"2761" "NM_001113755" 1630 17
"2762" "NM_001009984" 6869 3266
"2763" "NM_000501" 3781 1206
"2764" "NM_003602" 1500 1
"2765" "NM_003602" 1500 444
"2766" "NM_015089" 7780 141
"2767" "NM_001164458" 1218 37
"2768" "NM_001164458" 1218 356
"2769" "NM_001164459" 1218 37
"2770" "NM_001164459" 1218 356
"2771" "NM_003735" 4747 1805
"2772" "NM_018929" 4761 1805
"2773" "NM_001300980" 1834 309
"2774" "NM_002488" 804 301
"2775" "NM_001204077" 6103 2770
"2776" "NM_032311" 3441 2069
"2777" "NM_022727" 2964 696
"2778" "NM_182984" 2964 696
"2779" "NM_022719" 5392 3916
"2780" "NM_003802" 5992 84
"2781" "NM_006299" 1621 287
"2782" "NM_024493" 4725 2891
"2783" "NM_005931" 2446 1214
"2784" "NM_000424" 2531 366
"2785" "NM_006121" 2451 456
"2786" "NM_004693" 2324 446
"2787" "NM_173086" 2289 545
"2788" "NM_005555" 2282 538
"2789" "" 2462 1223
"2790" "NM_000156" 1053 274
"2791" "NM_017417" 2380 128
"2792" "NM_002234" 2800 798
"2793" "NM_032680" 2186 528
"2794" "" 1007 84
"2795" "NM_014725" 4862 1417
"2796" "NM_015686" 4013 2551
"2797" "NM_001142464" 1501 10
"2798" "NM_001142464" 1501 499
"2799" "" 5337 2499
"2800" "NM_032377" 1019 702
"2801" "NM_018687" 872 255
"2802" "NM_001299" 1633 527
"2803" "" 2034 37
"2804" "" 2034 111
"2805" "" 1991 279
"2806" "" 2463 196
"2807" "NM_001042724" 2466 848
"2808" "NM_002856" 2112 320
"2809" "NM_000041" 1208 142
"2810" "NM_001302691" 1208 142
"2811" "NM_001302689" 1208 142
"2812" "NM_001302690" 1208 142
"2813" "NM_006114" 1707 519
"2814" "NM_000483" 727 313
"2815" "NM_018436" 1446 107
"2816" "NM_006705" 1065 475
"2817" "NM_015024" 4861 1496
"2818" "" 3393 871
"2819" "" 3050 0
"2820" "" 3050 83
"2821" "" 3050 810
"2822" "NM_174905" 1271 201
"2823" "NM_014649" 3371 243
"2824" "NM_004386" 6387 2321
"2825" "NM_031310" 2305 913
"2826" "NM_004335" 1019 14
"2827" "NM_004335" 1019 387
"2828" "NM_018044" 1672 365
"2829" "NM_198580" 3594 1555
"2830" "NM_031941" 3335 1048
"2831" "NM_024656" 3704 1714
"2832" "NM_023937" 968 463
"2833" "NM_012088" 1028 206
"2834" "NM_016199" 529 162
"2835" "NM_031924" 2175 301
"2836" "NM_002377" 9841 8596
"2837" "NM_005934" 4507 2662
"2838" "" 1916 774
"2839" "NM_004924" 4963 2150
"2840" "NM_004544" 4915 3745
"2841" "NM_138494" 2535 821
"2842" "NM_000799" 1330 566
"2843" "NM_005720" 1551 311
"2844" "NM_145814" 1853 479
"2845" "NM_020928" 5501 1852
"2846" "" 3118 261
"2847" "NM_001169111" 992 14
"2848" "NM_033410" 2738 1429
"2849" "NM_023931" 3936 2691
"2850" "NM_012293" 6808 2316
"2851" "NM_004864" 1200 240
"2852" "" 1409 758
"2853" "NM_001252129" 986 556
"2854" "NM_001286968" 1863 680
"2855" "NM_005354" 1863 680
"2856" "NM_002152" 2385 97
"2857" "NM_017636" 4109 337
"2858" "NM_024341" 2268 473
"2859" "NM_001044387" 2268 473
"2860" "NM_014279" 2591 999
"2861" "NM_004756" 3561 1562
"2862" "" 678 128
"2863" "NM_013236" 3329 1635
"2864" "" 3885 1135
"2865" "NM_015722" 2271 27
"2866" "NM_015722" 2271 1494
"2867" "NM_000773" 1667 151
"2868" "NM_005332" 755 102
"2869" "NM_005515" 2174 666
"2870" "NM_015655" 3205 816
"2871" "NM_001297701" 955 84
"2872" "NM_001319944" 3935 1514
"2873" "NM_022778" 3935 1514
"2874" "NM_003185" 4628 1369
"2875" "NM_080473" 2595 1338
"2876" "NM_080833" 2793 640
"2877" "NM_005560" 11426 270
"2878" "NM_007002" 1478 98
"2879" "NM_175573" 1478 98
"2880" "NM_021619" 2476 1311
"2881" "NM_003969" 1508 376
"2882" "NM_005762" 2960 162
"2883" "" 2087 18
"2884" "" 2087 989
"2885" "NM_001415" 2858 1185
"2886" "NM_017854" 663 79
"2887" "NM_015168" 6119 2168
"2888" "" 616 111
"2889" "NM_002446" 3436 282
"2890" "NM_031459" 3453 1688
"2891" "NM_201435" 3546 39
"2892" "NM_201435" 3546 1106
"2893" "NM_003959" 4539 1206
"2894" "NM_015956" 1455 231
"2895" "NM_020230" 1657 128
"2896" "NM_003755" 1103 96
"2897" "NM_031917" 1900 247
"2898" "NM_018381" 2117 942
"2899" "NM_001318055" 7085 5155
"2900" "NM_001318056" 7085 5155
"2901" "NM_024106" 7085 5155
"2902" "NM_001142805" 3763 1378
"2903" "NM_005629" 3763 1378
"2904" "NM_018555" 5042 2316
"2905" "NM_007345" 8124 2387
"2906" "NM_019849" 1946 226
"2907" "NM_002333" 3807 1291
"2908" "NM_152269" 2073 927
"2909" "NM_031485" 5571 3996
"2910" "NM_015462" 2947 671
"2911" "NM_001303272" 2947 671
"2912" "NM_006048" 4772 410
"2913" "NM_006071" 7693 897
"2914" "NM_017561" 2561 268
"2915" "NM_007001" 1613 535
"2916" "NM_139126" 2232 719
"2917" "" 6597 11
"2918" "" 6597 1046
"2919" "" 4256 634
"2920" "NM_033197" 1727 110
"2921" "NM_001319164" 1122 36
"2922" "NM_001319164" 1122 188
"2923" "NM_184234" 2488 870
"2924" "NM_054112" 1158 752
"2925" "NM_001076552" 2925 747
"2926" "NM_015185" 5413 3060
"2927" "NM_006688" 1295 494
"2928" "NM_002055" 3086 1720
"2929" "NM_016438" 635 83
"2930" "NM_001696" 1402 537
"2931" "NM_001201359" 953 396
"2932" "NM_001318797" 708 127
"2933" "NM_001861" 708 127
"2934" "NM_006067" 1962 1083
"2935" "NM_014615" 7495 3664
"2936" "NM_001195125" 953 39
"2937" "NM_001195125" 953 261
"2938" "NM_016095" 2673 2013
"2939" "" 1913 748
"2940" "NM_000505" 2049 151
"2941" "NM_006162" 4642 1794
"2942" "" 1525 19
"2943" "" 1525 121
"2944" "" 1525 51
"2945" "" 1525 148
"2946" "" 1525 614
"2947" "NM_004299" 2377 89
"2948" "NM_033417" 1568 143
"2949" "NM_032571" 2254 193
"2950" "NM_022497" 4586 3922
"2951" "NM_014744" 7854 3800
"2952" "NM_014296" 4353 1657
"2953" "NM_032137" 3326 158
"2954" "NM_022340" 6678 3708
"2955" "NM_004851" 1548 75
"2956" "NM_007121" 1998 379
"2957" "NM_003687" 2282 1224
"2958" "NM_005110" 3093 873
"2959" "NM_000988" 490 38
"2960" "NM_013290" 1408 644
"2961" "NM_032353" 1101 529
"2962" "NM_005854" 780 183
"2963" "NM_009590" 2657 358
"2964" "NM_000151" 3096 1942
"2965" "" 3942 3297
"2966" "NM_018898" 5299 2406
"2967" "" 5789 1828
"2968" "NM_018916" 4771 1805
"2969" "NM_030571" 3851 1
"2970" "NM_030571" 3851 2712
"2971" "NM_021807" 4185 1230
"2972" "NM_003626" 5234 11
"2973" "NM_003626" 5234 1397
"2974" "NM_001308068" 5037 2480
"2975" "NM_001256541" 1686 553
"2976" "NM_001142350" 1246 91
"2977" "NM_021570" 1533 541
"2978" "NM_019045" 4111 973
"2979" "" 1512 138
"2980" "" 4606 634
"2981" "NM_002275" 5237 279
"2982" "NM_032865" 4067 1759
"2983" "NM_000964" 2414 569
"2984" "NM_031963" 960 472
"2985" "NM_032192" 1845 760
"2986" "NM_001461" 2632 640
"2987" "NM_005399" 5417 4458
"2988" "NM_004960" 5119 3432
"2989" "NM_001170937" 5119 3432
"2990" "NM_000510" 1698 1238
"2991" "NM_003433" 3031 508
"2992" "NM_020903" 3705 481
"2993" "NM_001265599" 1959 97
"2994" "NM_014918" 4550 1664
"2995" "NM_003090" 1055 213
"2996" "NM_021969" 1156 355
"2997" "" 3458 2128
"2998" "" 3458 623
"2999" "NM_001114" 6138 2626
"3000" "NM_018105" 2161 1287
"3001" "NM_033103" 3500 1402
"3002" "" 875 127
"3003" "" 875 385
"3004" "" 4915 114
"3005" "" 4915 139
"3006" "" 4915 136
"3007" "" 4915 217
"3008" "" 4915 72
"3009" "" 4915 140
"3010" "" 4915 144
"3011" "" 4915 168
"3012" "" 4915 236
"3013" "NM_018477" 2419 1084
"3014" "NM_002306" 1146 131
"3015" "" 1859 349
"3016" "NM_144566" 2882 509
"3017" "NM_006145" 2264 1169
"3018" "NM_023072" 4339 1179
"3019" "NM_002918" 4332 1156
"3020" "NM_138353" 2278 453
"3021" "NM_002997" 3147 1968
"3022" "NM_003141" 1924 382
"3023" "NM_015285" 14083 9398
"3024" "NM_003074" 6375 2936
"3025" "NM_014229" 4296 2330
"3026" "NM_024923" 7193 1445
"3027" "NM_016371" 1190 108
"3028" "NM_032048" 5910 2588
"3029" "NM_144666" 14862 35
"3030" "NM_012402" 2543 1432
"3031" "NM_015324" 6560 5070
"3032" "NM_012192" 2840 2457
"3033" "NM_001323553" 5438 2746
"3034" "NM_001323557" 5438 2746
"3035" "NM_015137" 5438 2746
"3036" "NM_001080399" 1782 260
"3037" "NM_017952" 6734 4597
"3038" "" 2613 335
"3039" "NM_145644" 1061 411
"3040" "" 3336 158
"3041" "" 3336 238
"3042" "" 3336 632
"3043" "NM_030768" 1490 134
"3044" "NM_022817" 6385 2336
"3045" "NM_005855" 910 330
"3046" "NM_016510" 2562 1057
"3047" "NM_001323355" 5331 2948
"3048" "NM_001316676" 5331 2948
"3049" "NM_001323356" 5331 2948
"3050" "NM_006504" 5331 2948
"3051" "NM_032587" 4221 907
"3052" "NM_015085" 6661 29
"3053" "NM_015085" 6661 4347
"3054" "NM_014520" 4807 512
"3055" "NM_002945" 4340 2378
"3056" "NM_002615" 1548 127
"3057" "NM_021937" 2232 386
"3058" "NM_032927" 1737 8
"3059" "NM_032927" 1737 714
"3060" "NM_017421" 1335 199
"3061" "NM_022361" 1345 189
"3062" "NM_018697" 4353 2421
"3063" "NM_002092" 6666 24
"3064" "NM_002092" 6666 5079
"3065" "" 1438 787
"3066" "NM_020368" 2073 433
"3067" "NM_012478" 1944 1034
"3068" "NM_005324" 2705 2160
"3069" "NM_033452" 2266 321
"3070" "NM_005455" 2821 40
"3071" "NM_005455" 2821 1800
"3072" "NM_001080424" 6713 1274
"3073" "NM_080913" 1396 252
"3074" "NM_017986" 2377 356
"3075" "NM_000180" 3698 23
"3076" "NM_000180" 3698 211
"3077" "NM_182906" 1797 516
"3078" "NM_005836" 1057 497
"3079" "NM_002380" 4106 1003
"3080" "NM_139199" 4388 307
"3081" "NM_016606" 2099 1217
"3082" "NM_032151" 1223 595
"3083" "NM_001317985" 1925 513
"3084" "NM_005702" 1925 513
"3085" "NM_016101" 2402 1458
"3086" "NM_001199434" 1887 1451
"3087" "NM_005652" 2983 1336
"3088" "NM_013245" 4100 2629
"3089" "NM_000214" 6048 1813
"3090" "NM_052970" 3151 944
"3091" "NM_001197327" 3151 944
"3092" "NM_130811" 2053 1220
"3093" "NM_181443" 4686 2942
"3094" "NM_013248" 1123 312
"3095" "NM_001242581" 4505 1520
"3096" "NM_018993" 4505 1520
"3097" "NM_001052" 1427 161
"3098" "NM_000567" 2015 1235
"3099" "NM_021817" 1771 340
"3100" "NM_001639" 926 156
"3101" "NM_002180" 3961 867
"3102" "NM_080658" 1300 168
"3103" "NM_004923" 2579 867
"3104" "NM_001319165" 2472 829
"3105" "NM_001384" 2472 829
"3106" "NM_001124756" 2129 5
"3107" "NM_001124756" 2129 195
"3108" "NM_080752" 2773 472
"3109" "NM_016470" 1572 555
"3110" "NM_198941" 1726 37
"3111" "NM_198941" 1726 131
"3112" "NM_013391" 3106 475
"3113" "NM_017614" 2050 891
"3114" "NM_003664" 5838 2376
"3115" "NM_032367" 6172 5101
"3116" "NM_020783" 4110 2462
"3117" "NM_007163" 4746 1166
"3118" "NM_020167" 2073 658
"3119" "NM_000440" 5642 2938
"3120" "" 3287 301
"3121" "NM_005800" 3814 192
"3122" "NM_022459" 9921 6392
"3123" "" 1562 178
"3124" "NM_031277" 5119 9
"3125" "NM_031277" 5119 184
"3126" "NM_001184993" 5119 9
"3127" "NM_001184993" 5119 184
"3128" "" 2134 168
"3129" "NM_000740" 8780 6227
"3130" "NM_017533" 6016 84
"3131" "NM_148172" 1013 227
"3132" "NM_001267551" 1013 227
"3133" "NM_004589" 9612 8644
"3134" "NM_001276" 1792 513
"3135" "NM_004997" 1805 31
"3136" "NM_004997" 1805 280
"3137" "NM_001256125" 1598 218
"3138" "NM_021636" 3406 573
"3139" "NM_004734" 5703 3300
"3140" "NM_003914" 1879 216
"3141" "NM_000538" 2304 1350
"3142" "NM_178007" 5798 2422
"3143" "NM_001085354" 2940 127
"3144" "NM_194463" 2817 1279
"3145" "NM_001105243" 7937 4630
"3146" "NM_001288771" 2163 148
"3147" "NM_139177" 2737 1634
"3148" "NM_017797" 2649 1049
"3149" "NM_032701" 2308 670
"3150" "NM_032370" 1178 136
"3151" "NM_001145291" 3280 674
"3152" "NM_001130106" 1768 376
"3153" "NM_012267" 1768 376
"3154" "NM_001319" 2918 1134
"3155" "NM_173630" 7326 357
"3156" "NM_014067" 1205 29
"3157" "NM_014067" 1205 129
"3158" "NM_001142536" 1667 373
"3159" "NM_004585" 749 205
"3160" "NM_017878" 742 193
"3161" "" 1297 60
"3162" "NM_144600" 2275 1719
"3163" "NM_032286" 1141 621
"3164" "NM_024821" 1270 475
"3165" "" 1436 104
"3166" "" 1436 129
"3167" "" 1436 187
"3168" "" 1436 110
"3169" "" 1436 101
"3170" "" 1436 75
"3171" "" 1436 127
"3172" "" 1436 284
"3173" "NM_174977" 2499 1193
"3174" "NM_058004" 6752 355
"3175" "NM_018326" 2060 894
"3176" "NM_013446" 3151 1476
"3177" "NM_020445" 2216 824
"3178" "NM_006183" 1237 616
"3179" "NM_001731" 4680 3801
"3180" "NM_024524" 7322 3238
"3181" "NM_032372" 1842 1121
"3182" "NM_175861" 8805 6005
"3183" "NM_033360" 1119 3
"3184" "NM_033360" 1119 480
"3185" "NM_006390" 5325 1871
"3186" "NM_006846" 3535 297
"3187" "NM_002677" 3608 3071
"3188" "NM_001442" 941 445
"3189" "NM_005536" 2690 1389
"3190" "" 5042 4094
"3191" "" 5042 198
"3192" "NM_014167" 1983 844
"3193" "NM_006691" 3273 2144
"3194" "NM_032867" 3044 664
"3195" "NM_030962" 7439 1750
"3196" "NM_014632" 3906 16
"3197" "NM_014632" 3906 225
"3198" "NM_001282663" 3906 16
"3199" "NM_001282663" 3906 225
"3200" "NM_012250" 1516 586
"3201" "NM_000414" 2683 338
"3202" "NM_031271" 10187 1741
"3203" "NM_016127" 2154 875
"3204" "NM_024787" 1868 997
"3205" "NM_001305115" 1835 680
"3206" "NM_024025" 1835 680
"3207" "NM_007176" 2633 1763
"3208" "NM_001102368" 2967 798
"3209" "NM_020818" 8400 367
"3210" "NM_024764" 3623 114
"3211" "NM_018228" 3466 1115
"3212" "NM_018373" 7015 6494
"3213" "NM_015351" 5217 4204
"3214" "NM_005466" 1995 1223
"3215" "NM_004094" 4485 3075
"3216" "NM_003814" 2795 218
"3217" "NM_018091" 3452 1430
"3218" "NM_144962" 895 118
"3219" "NM_014479" 2348 714
"3220" "NM_014772" 5750 3657
"3221" "" 5166 4216
"3222" "NM_003927" 5188 11
"3223" "NM_003927" 5188 3710
"3224" "NM_016097" 3525 3178
"3225" "NM_033281" 1286 903
"3226" "NM_031966" 2169 613
"3227" "NM_001324075" 1439 294
"3228" "NM_001799" 1439 294
"3229" "NM_005582" 5388 3243
"3230" "NM_000564" 2001 487
"3231" "NM_001570" 3483 1514
"3232" "NM_003656" 1488 196
"3233" "NM_000551" 3737 2254
"3234" "NM_003670" 3473 1630
"3235" "" 3005 2197
"3236" "NM_014674" 6146 4038
"3237" "NM_006614" 8023 3705
"3238" "NM_080650" 2099 1267
"3239" "NM_024713" 2723 1664
"3240" "NM_020154" 1155 316
"3241" "NM_001252024" 5514 487
"3242" "NM_004037" 3899 898
"3243" "NM_032044" 1357 533
"3244" "NM_000549" 537 81
"3245" "NM_000851" 1555 839
"3246" "" 4046 3138
"3247" "NM_002959" 7028 4472
"3248" "NM_001291880" 2819 773
"3249" "" 868 269
"3250" "NM_024408" 11389 3752
"3251" "NM_025188" 3515 1244
"3252" "" 3283 148
"3253" "NM_001253853" 2742 316
"3254" "NM_006594" 2742 316
"3255" "" 1820 546
"3256" "" 725 58
"3257" "" 725 33
"3258" "" 725 70
"3259" "" 725 224
"3260" "NM_001659" 4105 3223
"3261" "NM_001143841" 1394 619
"3262" "NM_018976" 4888 2921
"3263" "NM_020738" 7361 1862
"3264" "NM_145693" 5384 2617
"3265" "NM_207315" 2884 1533
"3266" "NM_030754" 563 148
"3267" "NM_031418" 6642 2843
"3268" "NM_013409" 2519 1100
"3269" "NM_030787" 2810 990
"3270" "" 3549 454
"3271" "" 2920 303
"3272" "" 2935 2440
"3273" "NM_004539" 3099 995
"3274" "NM_002091" 848 302
"3275" "" 5579 1577
"3276" "" 1006 74
"3277" "NM_001239" 1378 180
"3278" "NM_021624" 3668 2394
"3279" "NM_001100619" 5002 3099
"3280" "NM_004946" 6097 523
"3281" "NM_001423" 5921 5247
"3282" "NM_032918" 2264 1326
"3283" "NM_006446" 2229 56
"3284" "NM_030572" 2269 1751
"3285" "" 4217 25
"3286" "" 4217 310
"3287" "NM_000107" 1870 390
"3288" "NM_001610" 2203 813
"3289" "NM_001302492" 2203 813
"3290" "NM_004476" 2635 120
"3291" "NM_001078171" 1181 820
"3292" "NM_004794" 1258 129
"3293" "NM_005959" 1565 469
"3294" "NM_014676" 5360 1704
"3295" "NM_001281988" 2472 180
"3296" "NM_198040" 3870 1238
"3297" "NM_001009881" 5743 659
"3298" "NM_032864" 5274 4148
"3299" "NM_001944" 5525 2441
"3300" "NM_198128" 2071 1527
"3301" "NM_001942" 5045 1682
"3302" "NM_004948" 4271 9
"3303" "NM_004948" 4271 1475
"3304" "NM_024421" 4225 1277
"3305" "NM_025135" 4967 524
"3306" "NM_006133" 5757 2511
"3307" "NM_012456" 680 253
"3308" "NM_024060" 1024 337
"3309" "NM_005142" 1518 215
"3310" "" 1726 69
"3311" "" 1726 281
"3312" "NM_001281501" 2964 1664
"3313" "" 468 78
"3314" "" 468 105
"3315" "NM_001062" 1582 174
"3316" "NM_025009" 5562 10
"3317" "NM_025009" 5562 2003
"3318" "NM_006206" 6576 2974
"3319" "NM_017693" 3859 1667
"3320" "NM_024537" 1879 119
"3321" "NM_007037" 4010 632
"3322" "NM_175737" 6082 2849
"3323" "NM_001300780" 4256 862
"3324" "NM_000038" 10701 2112
"3325" "NM_004772" 2013 1624
"3326" "NM_053067" 2299 357
"3327" "NM_000700" 1509 285
"3328" "NM_004816" 2423 649
"3329" "NM_033274" 6481 3644
"3330" "NM_001308173" 1848 397
"3331" "NM_032663" 3742 2094
"3332" "NM_006843" 1606 495
"3333" "NM_002442" 2975 20
"3334" "NM_002442" 2975 1775
"3335" "NM_000545" 3442 1319
"3336" "NM_016569" 4208 1585
"3337" "NM_003733" 3266 1449
"3338" "NM_003806" 5789 55
"3339" "NM_003806" 5789 5322
"3340" "" 3882 2313
"3341" "NM_004416" 3455 1088
"3342" "NM_001143906" 3178 811
"3343" "NM_017439" 3251 606
"3344" "NM_006188" 696 273
"3345" "" 1296 204
"3346" "NM_024315" 1063 475
"3347" "NM_001042717" 1740 735
"3348" "NM_032936" 1023 243
"3349" "NM_001256007" 3490 845
"3350" "NM_013332" 1349 955
"3351" "NM_021930" 2976 365
"3352" "" 4598 3266
"3353" "NM_018682" 6714 750
"3354" "NM_021813" 9113 5878
"3355" "NM_030568" 1134 214
"3356" "NM_001286206" 5063 828
"3357" "NM_002526" 3548 1773
"3358" "NM_138409" 2153 1399
"3359" "NM_018064" 1662 524
"3360" "NM_181837" 2501 327
"3361" "NM_005574" 2294 779
"3362" "NM_024662" 4002 717
"3363" "NM_012153" 3150 2125
"3364" "NM_001422" 2321 1424
"3365" "NM_024081" 5530 4595
"3366" "NM_023033" 1096 21
"3367" "NM_023033" 1096 569
"3368" "NM_001780" 1070 73
"3369" "NM_006262" 3245 332
"3370" "NM_020547" 1863 60
"3371" "NM_033277" 551 79
"3372" "NM_005811" 8657 7395
"3373" "NM_002206" 4120 489
"3374" "NM_032130" 2944 99
"3375" "NM_002905" 1269 159
"3376" "NM_001199771" 1269 159
"3377" "NM_014770" 5388 2790
"3378" "" 745 247
"3379" "" 745 153
"3380" "NM_002283" 2447 846
"3381" "NM_000075" 2076 797
"3382" "NM_006741" 1826 1138
"3383" "NM_005480" 2527 113
"3384" "NM_005981" 1849 941
"3385" "NM_001173452" 3546 1577
"3386" "NM_005653" 3546 1577
"3387" "NM_001166279" 4537 671
"3388" "NM_012291" 6623 168
"3389" "NM_032786" 7228 5646
"3390" "NM_001303124" 7228 5646
"3391" "NM_001303125" 7228 5646
"3392" "NM_033045" 2092 221
"3393" "NM_004302" 4563 2967
"3394" "NM_001261420" 2505 645
"3395" "NM_033033" 2664 1043
"3396" "NM_012064" 2599 1777
"3397" "NM_001314030" 3867 354
"3398" "NM_012284" 3867 354
"3399" "NM_001270395" 1595 1177
"3400" "NM_002511" 1354 39
"3401" "NM_003080" 1645 13
"3402" "NM_031922" 3161 193
"3403" "NM_013247" 2370 362
"3404" "NM_032319" 1083 447
"3405" "NM_006429" 1916 142
"3406" "NM_015470" 4342 2138
"3407" "" 786 112
"3408" "" 786 121
"3409" "" 786 69
"3410" "" 786 104
"3411" "" 786 62
"3412" "" 786 70
"3413" "NM_003494" 6796 275
"3414" "NM_001130976" 6796 275
"3415" "NM_053050" 1162 160
"3416" "NM_004097" 2188 936
"3417" "NM_014505" 4731 3638
"3418" "NM_002076" 5122 3291
"3419" "NM_001145339" 1361 17
"3420" "NM_002392" 12633 10836
"3421" "NM_001303451" 1974 180
"3422" "NM_017429" 2670 564
"3423" "NM_005792" 1103 568
"3424" "NM_001077418" 4278 3249
"3425" "NM_014732" 7404 5894
"3426" "NM_020465" 3324 2051
"3427" "NM_006141" 4515 2828
"3428" "" 1658 355
"3429" "NM_013241" 3990 246
"3430" "NM_033212" 2463 562
