Ensembl Transcript ID	RefSeq mRNA [e.g. NM_001195597]	Transcript length (including UTRs and CDS)
ENST00000521089	NM_001161661	3562
ENST00000527766		812
ENST00000527894		610
ENST00000616407	NM_001122964	4385
ENST00000538850		1125
ENST00000544590		491
ENST00000529609		734
ENST00000425898		2996
ENST00000613570	NM_001007214	2835
ENST00000482826		435
ENST00000626917		3035
ENST00000532891		2604
ENST00000533707		472
ENST00000541918		908
ENST00000377495	NM_001098844	5464
ENST00000529583	NM_001258245	848
ENST00000343131	NM_001143764	1309
ENST00000451917	NM_001320	948
ENST00000451917	NM_001282385	948
ENST00000426793		499
ENST00000540172		582
ENST00000442834		2508
ENST00000464241		1562
ENST00000534994		674
ENST00000581638		537
ENST00000461977		574
ENST00000542975		577
ENST00000545865		689
ENST00000398868	NM_015459	7135
ENST00000582826		278
ENST00000432597		1254
ENST00000456806	NM_001159522	1679
ENST00000561639	NM_001288990	2258
ENST00000619040	NM_032962	472
ENST00000527271	NM_001258241	706
ENST00000563634		564
ENST00000541246		1101
ENST00000470801		597
ENST00000371522	NM_001198961	1509
ENST00000538786	NM_001290048	1920
ENST00000567852		834
ENST00000484633	NM_020418	2009
ENST00000523043		599
ENST00000529357		1709
ENST00000628682		697
ENST00000442267	NM_015130	5306
ENST00000565148		555
ENST00000540699		714
ENST00000612688		2981
ENST00000526484		526
ENST00000502786		360
ENST00000471308		2087
ENST00000519859		562
ENST00000628382		564
ENST00000524373		910
ENST00000524404		969
ENST00000630443		667
ENST00000535789		828
ENST00000514787		541
ENST00000378798	NM_001270977	2255
ENST00000544302		1091
ENST00000457261	NM_148919	1125
ENST00000617446		2371
ENST00000532667		528
ENST00000370968		775
ENST00000560783		511
ENST00000498822		2547
ENST00000618060		426
ENST00000631147		691
ENST00000528677		780
ENST00000539186		542
ENST00000536161		924
ENST00000533273		873
ENST00000367393	NM_001024594	588
ENST00000397457	NM_001199322	2684
ENST00000397457	NM_201280	2684
ENST00000471622		1784
ENST00000630564		727
ENST00000482779		835
ENST00000439924		1841
ENST00000527678		1070
ENST00000629384		609
ENST00000382044	NM_001141980	10384
ENST00000436652		394
ENST00000579357		2853
ENST00000529530		584
ENST00000625855		770
ENST00000393895		3980
ENST00000545518		710
ENST00000468324		704
ENST00000629815		390
ENST00000542800		341
ENST00000481801		651
ENST00000456820		2031
ENST00000466412		837
ENST00000532717		553
ENST00000344686	NM_003954	4460
ENST00000563783		573
ENST00000468758		816
ENST00000528273		2319
ENST00000537571		603
ENST00000497653		559
ENST00000367434	NM_003783	3274
ENST00000244777		2445
ENST00000568509		1369
ENST00000489595		539
ENST00000545388		630
ENST00000428638	NM_001282290	4242
ENST00000490063		510
ENST00000538709		491
ENST00000627748		1273
ENST00000300057	NM_018670	2369
ENST00000290470	NM_174919	1376
ENST00000519659		476
ENST00000592267		3152
ENST00000367679	NM_014412	2766
ENST00000332029	NM_003745	1225
ENST00000398291	NM_001102386	1159
ENST00000536027		823
ENST00000357440	NM_001532	2514
ENST00000447073		1025
ENST00000586644		570
ENST00000559894		451
ENST00000475998		1017
ENST00000541180		635
ENST00000483411		563
ENST00000486432		423
ENST00000483307		688
ENST00000543936	NM_001199323	273
ENST00000617331		1049
ENST00000471358		559
ENST00000388833	NM_018430	2429
ENST00000263801	NM_005657	6346
ENST00000461544		562
ENST00000495786		1014
ENST00000416134	NM_004159	1351
ENST00000251808	NM_024915	5239
ENST00000473925		804
ENST00000562633		474
ENST00000376926		4583
ENST00000375503		870
ENST00000406752		243
ENST00000521085		236
ENST00000561654		547
ENST00000405362		1059
ENST00000326233	NM_178352	430
ENST00000211122	NM_000847	902
ENST00000569504		2009
ENST00000261918	NM_003612	3885
ENST00000472106		1178
ENST00000540386		2474
ENST00000431934		1284
ENST00000517425		743
ENST00000375501		415
ENST00000469173		904
ENST00000460612		2645
ENST00000431899		411
ENST00000544554	NM_001300868	2505
ENST00000562321		475
ENST00000524228		3408
ENST00000395927		2140
ENST00000539680		5817
ENST00000445860		418
ENST00000428823		1835
ENST00000476454		2222
ENST00000322099	NM_033010	1964
ENST00000498341		1153
ENST00000606369	NM_001270978	3583
ENST00000606369	NM_001270979	3583
ENST00000517646		254
ENST00000565558		816
ENST00000624315		2451
ENST00000543145	NM_001146029	2304
ENST00000493079		1519
ENST00000456789	NM_001159740	1507
ENST00000517674		324
ENST00000541567		2272
ENST00000469352		579
ENST00000569617		473
ENST00000479183		2356
ENST00000474338		388
ENST00000566371		581
ENST00000518334		611
ENST00000546034		2509
ENST00000304363	NM_017635	5837
ENST00000304363	NM_001300907	5837
ENST00000619145		2380
ENST00000535424	NM_001270976	4082
ENST00000415654		5708
ENST00000351072	NM_130775	478
ENST00000626438		126
ENST00000543419		555
ENST00000287474	NM_001013660	2678
ENST00000466460		1377
ENST00000463923		663
ENST00000338779	NM_138383	4992
ENST00000489209		216
ENST00000460765		785
ENST00000395014		1281
ENST00000441488		2816
ENST00000302014	NM_000591	1886
ENST00000502843		1560
ENST00000614745		2030
ENST00000448630	NM_000595	1422
ENST00000308682	NM_001005191	1022
ENST00000492943		440
ENST00000226382	NM_003924	3030
ENST00000377298	NM_001302883	5221
ENST00000377298	NM_001009566	5221
ENST00000524093		489
ENST00000571771		453
ENST00000562883		407
ENST00000567345		674
ENST00000468015		1497
ENST00000370176		1304
ENST00000476022		932
ENST00000410003		3358
ENST00000576338		518
ENST00000524038		2077
ENST00000510424		540
ENST00000371520		1606
ENST00000542748	NM_001146030	3228
ENST00000463704		431
ENST00000498971		882
ENST00000477264		2169
ENST00000411772		3976
ENST00000491252		3860
ENST00000519715		485
ENST00000427752		2475
ENST00000382039		6015
ENST00000437010		2487
ENST00000512545		556
ENST00000450115	NM_001141979	6179
ENST00000412802		908
ENST00000435891		3829
ENST00000616026		2241
ENST00000401743	NM_001040021	1648
ENST00000401743	NM_001174105	1648
ENST00000401743	NM_001174104	1648
ENST00000453234		936
ENST00000456545		757
ENST00000358358	NM_018281	1126
ENST00000285850		2263
ENST00000434595		446
ENST00000462069	NM_001291941	631
ENST00000404977		4917
ENST00000361311	NM_014944	4647
ENST00000434561		613
ENST00000498544		985
ENST00000464286		563
ENST00000401547	NM_016028	2666
ENST00000391624	NM_181605	636
ENST00000299638	NM_015532	4199
ENST00000405515		2869
ENST00000342382	NM_001012339	2309
ENST00000622139		1181
ENST00000453258	NM_001098175	5044
ENST00000486169		582
ENST00000233623	NM_022492	3235
ENST00000613221	NM_001097610	478
ENST00000494490		1648
ENST00000402789		1599
ENST00000531678	NM_176884	1027
ENST00000371207	NM_001164178	1903
ENST00000232519	NM_001291942	690
ENST00000382021	NM_194283	6208
ENST00000402185	NM_001300909	1881
ENST00000572085		5574
ENST00000459957		873
ENST00000476477		1676
ENST00000465142		465
ENST00000464277		910
ENST00000479593		766
ENST00000421209	NM_001011700	955
ENST00000323599		653
ENST00000571145		431
ENST00000467988		702
ENST00000463189		894
ENST00000487866		940
ENST00000417342		594
ENST00000487623		610
ENST00000522140		1015
ENST00000482852		2896
ENST00000333762	NM_006026	1507
ENST00000494481	NM_020685	3525
ENST00000514237		1038
ENST00000533271		521
ENST00000615772		826
ENST00000467474		556
ENST00000486170		474
ENST00000414247		833
ENST00000491323		928
ENST00000524672		662
ENST00000512136		2516
ENST00000542214		768
ENST00000487851		471
ENST00000567643		591
ENST00000413546		3143
ENST00000506762		402
ENST00000488268		631
ENST00000521391		386
ENST00000442235		958
ENST00000509626		779
ENST00000480860		586
ENST00000330255	NM_001220493	1006
ENST00000544365		1335
ENST00000461724		1338
ENST00000615589		1255
ENST00000542739	NM_001145139	1715
ENST00000605155		610
ENST00000518204		543
ENST00000495920		456
ENST00000453170		594
ENST00000634258		10299
ENST00000380557	NM_001018102	3629
ENST00000492992		370
ENST00000414758		464
ENST00000635677		558
ENST00000372587	NM_001956	1241
ENST00000301547	NM_005815	2663
ENST00000409645		8252
ENST00000464308		743
ENST00000477089		460
ENST00000458496		556
ENST00000571134	NM_001105571	984
ENST00000543964	NM_001164181	1579
ENST00000480312		804
ENST00000436821		800
ENST00000434573		585
ENST00000604948	NM_001256679	1706
ENST00000488365		365
ENST00000544531		548
ENST00000562260		494
ENST00000440412		532
ENST00000466295		638
ENST00000493896		714
ENST00000424834	NM_001286792	8603
ENST00000281923	NM_002410	8144
ENST00000487040		557
ENST00000605201		578
ENST00000615954	NM_001300908	4306
ENST00000562955	NM_015284	12281
ENST00000299191	NM_144602	1068
ENST00000466831		2191
ENST00000542552		981
ENST00000371205	NM_001164179	2035
ENST00000371205	NM_001776	2035
ENST00000474789		545
ENST00000461183		889
ENST00000490783		800
ENST00000426595		1732
ENST00000483213		773
ENST00000447128		369
ENST00000381569		5706
ENST00000372070	NM_006066	1818
ENST00000372070	NM_001202414	1818
ENST00000536120	NM_001198962	1446
ENST00000329623	NM_199050	5844
ENST00000470139		4098
ENST00000370274	NM_015922	1929
ENST00000314742	NM_001040616	4821
ENST00000635076		1638
ENST00000478140		543
ENST00000522290		1614
ENST00000439534		1571
ENST00000305045	NM_001004712	934
ENST00000470897		466
ENST00000467046		432
ENST00000467872		362
ENST00000432467		994
ENST00000434299		840
ENST00000460255		485
ENST00000382095	NM_153023	6665
ENST00000471177		574
ENST00000265801	NM_021020	5459
ENST00000454754		1321
ENST00000371206		1598
ENST00000473032		935
ENST00000616228		231
ENST00000496999		775
ENST00000559169		2552
ENST00000440023	NM_001129765	1630
ENST00000594671		3851
ENST00000490659		768
ENST00000474317		529
ENST00000250377	NM_001256678	6118
ENST00000555702	NM_001126106	2272
ENST00000561233		491
ENST00000486393		2019
ENST00000434675		2001
ENST00000494070		628
ENST00000494772		301
ENST00000397532		2447
ENST00000461927		579
ENST00000471180		992
ENST00000361138	NM_015110	5980
ENST00000476957		910
ENST00000460536		4286
ENST00000376489	NM_001278568	989
ENST00000422161		439
ENST00000278980	NM_053041	1900
ENST00000431537	NM_002586	3202
ENST00000431537	NM_002586	3202
ENST00000616321		4464
ENST00000436784	NM_145262	1982
ENST00000618375		223
ENST00000491147		920
ENST00000491147		920
ENST00000380486	NM_015500	6345
ENST00000370339	NM_017798	3301
ENST00000481885		516
ENST00000559149		2477
ENST00000534898	NM_014672	2611
ENST00000351829		1166
ENST00000584301		553
ENST00000552231		1545
ENST00000226279	NM_001775	5668
ENST00000473583		1021
ENST00000370334		747
ENST00000603544		2232
ENST00000399949	NM_001286795	3026
ENST00000610160		1987
ENST00000475540		688
ENST00000265594	NM_020166	2545
ENST00000471651		1018
ENST00000561308		1612
ENST00000328631	NM_016291	1775
ENST00000328631	NM_001005909	1775
ENST00000446419	NM_001099339	1343
ENST00000547780		582
ENST00000560133		1196
ENST00000506191		594
ENST00000474815		488
ENST00000477382		1304
ENST00000560941		588
ENST00000259205	NM_019618	1195
ENST00000566365		661
ENST00000438925	NM_022362	3797
ENST00000438925	NM_001289404	3797
ENST00000511430		1672
ENST00000251377		1799
ENST00000471372		910
ENST00000556287		3017
ENST00000489173		2083
ENST00000559736		872
ENST00000305690	NM_001144951	1371
ENST00000510674		455
ENST00000479914		1077
ENST00000559577		827
ENST00000397529		2094
ENST00000561073		750
ENST00000370782	NM_001289405	3532
ENST00000409126	NM_001286793	2111
ENST00000480293		1320
ENST00000480293		1320
ENST00000560934		562
ENST00000491686		662
ENST00000482186		4542
ENST00000473198		1050
ENST00000473198		1050
ENST00000560272		558
ENST00000478164		992
ENST00000454083		597
ENST00000460888		580
ENST00000460888		580
ENST00000492597		2774
ENST00000485400		1513
ENST00000582328		2680
ENST00000559827		572
ENST00000488060		605
ENST00000264554	NM_012435	2494
ENST00000453481		309
ENST00000497973		667
ENST00000415833		2268
ENST00000605870	NM_001256680	1406
ENST00000376403		1681
ENST00000397528	NM_001126105	2098
ENST00000473038		948
ENST00000268704	NM_003119	3076
ENST00000546168		685
ENST00000371936		1498
ENST00000485279		388
ENST00000495913		421
ENST00000587423		1691
ENST00000557404		789
ENST00000327238		3165
ENST00000584071		733
ENST00000533999		550
ENST00000468224		599
ENST00000480108		677
ENST00000305135	NM_018023	6506
ENST00000487654		552
ENST00000588376		1551
ENST00000625365		676
ENST00000162749	NM_001065	2223
ENST00000321130	NM_001256681	1589
ENST00000475919		630
ENST00000582267		832
ENST00000251376	NM_006866	4429
ENST00000317011	NM_181721	1159
ENST00000415389	NM_001256613	2139
ENST00000590170		816
ENST00000243213	NM_000640	1371
ENST00000432781		1024
ENST00000543407		711
ENST00000584356		610
ENST00000341316	NM_199367	2288
ENST00000593466		757
ENST00000478452		835
ENST00000475985		335
ENST00000343003	NM_001286794	6405
ENST00000382119	NM_001145465	907
ENST00000356156		551
ENST00000424021		605
ENST00000346753	NM_153609	3197
ENST00000536717		1503
ENST00000376404		456
ENST00000531539		1053
ENST00000382108	NM_001166271	8463
ENST00000288025	NM_144676	938
ENST00000541154		597
ENST00000497765		496
ENST00000449563		580
ENST00000434392		882
ENST00000533282		409
ENST00000476550		790
ENST00000568748		774
ENST00000621846	NM_153326	1360
ENST00000621846	NM_001202413	1360
ENST00000569363		443
ENST00000413654		553
ENST00000482084		4123
ENST00000391737	NM_001290270	1452
ENST00000472593		5737
ENST00000437002		933
ENST00000322313	NM_018383	9471
ENST00000262290	NM_006151	2979
ENST00000472465		685
ENST00000568151		544
ENST00000481343		464
ENST00000456303		1958
ENST00000436787		822
ENST00000472992		644
ENST00000468850		572
ENST00000425359	NM_198313	1326
ENST00000562775		1595
ENST00000545375		513
ENST00000590222		951
ENST00000490146		1903
ENST00000335119	NM_005893	1941
ENST00000336375	NM_001099	3125
ENST00000536620		543
ENST00000590113		632
ENST00000262960	NM_139159	4295
ENST00000359866	NM_024050	4078
ENST00000543995		1531
ENST00000467074		1952
ENST00000495911		584
ENST00000544308		516
ENST00000368708	NM_005978	998
ENST00000335304	NM_182589	1912
ENST00000596582		502
ENST00000540022		1527
ENST00000264867	NM_013261	6318
ENST00000538509		483
ENST00000490479		761
ENST00000554061		1501
ENST00000393006	NM_001006623	3574
ENST00000543359		627
ENST00000590674		237
ENST00000564047		422
ENST00000521555		3797
ENST00000596925		560
ENST00000478372		356
ENST00000431041		705
ENST00000311417	NM_022470	9406
ENST00000555678		834
ENST00000441194		916
ENST00000537842		404
ENST00000543544		2350
ENST00000594501		398
ENST00000475741	NM_001292037	1242
ENST00000392547	NM_003387	4587
ENST00000506055		2627
ENST00000436361	NM_198314	1371
ENST00000535038		578
ENST00000406725	NM_001289001	3122
ENST00000490320		1110
ENST00000415764		1791
ENST00000440596	NM_001256614	1449
ENST00000263409	NM_002310	10089
ENST00000341356	NM_020441	1881
ENST00000610477		2372
ENST00000538606		638
ENST00000391738	NM_001130917	1753
ENST00000409658	NM_001006622	3104
ENST00000539372		1063
ENST00000272746		3028
ENST00000406856	NM_001289000	3178
ENST00000554517		1158
ENST00000326474	NM_001168214	2577
ENST00000408998		583
ENST00000432729	NM_152240	2944
ENST00000483626		884
ENST00000537042		1954
ENST00000487430		752
ENST00000556350		505
ENST00000542518		543
ENST00000376088	NM_001127899	10108
ENST00000376088	NM_001127898	10108
ENST00000429068		446
ENST00000422685		877
ENST00000453190	NM_001127671	4253
ENST00000578403		1483
ENST00000443853		579
ENST00000366159		1339
ENST00000539724		615
ENST00000513205		1432
ENST00000442782		1695
ENST00000582684		582
ENST00000497140		697
ENST00000564409		717
ENST00000448660		776
ENST00000351273	NM_001134194	1783
ENST00000540704		631
ENST00000554758		720
ENST00000539970		220
ENST00000580346		1243
ENST00000423761		526
ENST00000376091		3046
ENST00000368710		453
ENST00000439048		609
ENST00000359761	NM_001077269	2003
ENST00000437427		576
ENST00000508477		552
ENST00000517539		3569
ENST00000414084		743
ENST00000578643		3371
ENST00000482218	NM_001272102	449
ENST00000477575		986
ENST00000580596		570
ENST00000432134		1129
ENST00000541664		910
ENST00000368709		457
ENST00000581008		585
ENST00000381792		3260
ENST00000249883	NM_016201	4488
ENST00000412850		543
ENST00000423676		1713
ENST00000355703	NM_032223	7105
ENST00000506003		757
ENST00000528249		1906
ENST00000392546		2180
ENST00000509642		1391
ENST00000561945		411
ENST00000355839	NM_001289403	3555
ENST00000488800		847
ENST00000453768		1161
ENST00000514479		324
ENST00000419781		5414
ENST00000629481		661
ENST00000517347		828
ENST00000545736		1037
ENST00000555251		519
ENST00000368707		556
ENST00000531045		266
ENST00000590414		2225
ENST00000567138		1361
ENST00000508380		576
ENST00000512169		550
ENST00000557629		569
ENST00000493235		555
ENST00000376108	NM_000084	2660
ENST00000539929		629
ENST00000589632		2501
ENST00000503088		2371
ENST00000545016		551
ENST00000437813		634
ENST00000409891		2568
ENST00000373573	NM_018486	2014
ENST00000530174		1229
ENST00000308354	NM_021630	2236
ENST00000489084		563
ENST00000393893	NM_001018070	1931
ENST00000543997		573
ENST00000543048		571
ENST00000506990		760
ENST00000580890		1970
ENST00000555911		596
ENST00000470998		329
ENST00000538590		536
ENST00000483689		561
ENST00000507342		359
ENST00000627576		960
ENST00000440083		1034
ENST00000358024	NM_014858	3738
ENST00000597145		4257
ENST00000586155		2443
ENST00000512723		581
ENST00000389576		1942
ENST00000373568		1037
ENST00000467149		745
ENST00000452226		845
ENST00000557129		572
ENST00000307367	NM_001282163	3177
ENST00000515534		433
ENST00000578481		1115
ENST00000536194		581
ENST00000454603		529
ENST00000436675		908
ENST00000397760		1847
ENST00000539604		696
ENST00000464963		648
ENST00000503714		380
ENST00000601720		798
ENST00000511561		574
ENST00000409415		1772
ENST00000512463		581
ENST00000449424		2593
ENST00000415409		913
ENST00000578724		492
ENST00000368234		901
ENST00000507647		496
ENST00000563218		654
ENST00000421678	NM_001160102	2729
ENST00000422605		4335
ENST00000581490		564
ENST00000554741		741
ENST00000445006		639
ENST00000455428		488
ENST00000507786		523
ENST00000439247		3104
ENST00000582140		559
ENST00000442450		852
ENST00000216181	NM_002473	7501
ENST00000456153		1522
ENST00000397761		1491
ENST00000505469		406
ENST00000584703		375
ENST00000410117		777
ENST00000555959		476
ENST00000495538		3580
ENST00000514517		548
ENST00000531280		472
ENST00000616289		209
ENST00000392138		2266
ENST00000424340	NM_001135865	3801
ENST00000454335		631
ENST00000598800		3098
ENST00000436221		373
ENST00000377938	NM_019617	814
ENST00000553874		581
ENST00000412342		679
ENST00000324290	NM_001042685	1243
ENST00000436754		507
ENST00000507380		2385
ENST00000367159		892
ENST00000373571		2133
ENST00000453397		1022
ENST00000489148		861
ENST00000553351		583
ENST00000481950		2674
ENST00000514494		529
ENST00000535958		568
ENST00000514516	NM_001278683	4521
ENST00000597900		728
ENST00000585724		453
ENST00000426493		578
ENST00000553632		475
ENST00000468846		792
ENST00000413877		771
ENST00000329800	NM_001297613	2818
ENST00000538363		554
ENST00000417708		763
ENST00000429812		728
ENST00000601173		682
ENST00000451409		3660
ENST00000478888		581
ENST00000480400		593
ENST00000378445		476
ENST00000330675		2780
ENST00000280606	NM_001039503	2181
ENST00000591516		578
ENST00000357370		1342
ENST00000368235	NM_144772	1125
ENST00000595327		423
ENST00000486499		5489
ENST00000392332	NM_198047	2463
ENST00000609480	NM_001195150	3902
ENST00000619855	NM_024298	2596
ENST00000439122	NM_001166419	2338
ENST00000337428	NM_144702	1959
ENST00000637895	NM_001297611	1455
ENST00000588218		482
ENST00000373560		819
ENST00000569820		2305
ENST00000506326		3236
ENST00000597253		909
ENST00000253115	NM_001318055	7085
ENST00000253115	NM_001318056	7085
ENST00000253115	NM_024106	7085
ENST00000427147		884
ENST00000409141	NM_198042	1463
ENST00000494605		659
ENST00000599998		581
ENST00000425458		788
ENST00000628825	NM_001278170	2854
ENST00000613098		3210
ENST00000368233		1012
ENST00000375527	NM_181842	1875
ENST00000380252		694
ENST00000513145	NM_001278685	2653
ENST00000492427		1782
ENST00000599163		835
ENST00000566221		734
ENST00000612355		936
ENST00000446867		496
ENST00000621622		1216
ENST00000535489		2375
ENST00000610921		3039
ENST00000375614	NM_178834	2066
ENST00000617484		1026
ENST00000529577		606
ENST00000480587		721
ENST00000545499	NM_001242925	3339
ENST00000467374		779
ENST00000373559	NM_001166448	632
ENST00000512955		551
ENST00000561911		1025
ENST00000593003	NM_001300883	2402
ENST00000534307		625
ENST00000597849		2025
ENST00000488840		529
ENST00000587684		496
ENST00000511759		577
ENST00000470752		638
ENST00000565370		686
ENST00000621561	NM_001207052	1337
ENST00000340879	NM_001005911	1185
ENST00000340879	NM_001005910	1185
ENST00000589289		919
ENST00000586785		573
ENST00000474332		588
ENST00000536718		480
ENST00000561702		2042
ENST00000446247		663
ENST00000265810	NM_176871	4592
ENST00000372538	NM_144589	976
ENST00000614760		919
ENST00000601764		1909
ENST00000588443		560
ENST00000488830		788
ENST00000475726		768
ENST00000478743		563
ENST00000568205		463
ENST00000510560		845
ENST00000635810		582
ENST00000589435		532
ENST00000409417		1487
ENST00000618899	NM_001146082	1797
ENST00000545656		574
ENST00000486218		788
ENST00000490887		613
ENST00000421523		592
ENST00000566682		756
ENST00000452839		2363
ENST00000459960		687
ENST00000597726		570
ENST00000469002		624
ENST00000337195	NM_001329	6939
ENST00000616653		923
ENST00000375615	NM_001258390	1836
ENST00000433104		2490
ENST00000495928		329
ENST00000305366	NM_014220	1771
ENST00000481631		632
ENST00000380259		1772
ENST00000487291		553
ENST00000504234		623
ENST00000416159		880
ENST00000473022		400
ENST00000569720		909
ENST00000444587		307
ENST00000600621		625
ENST00000617324		911
ENST00000505596		527
ENST00000416707		1260
ENST00000525126		1763
ENST00000357309	NM_001172692	2124
ENST00000357309	NM_001172689	2124
ENST00000565891		878
ENST00000432900	NM_001278177	3994
ENST00000432900	NM_006954	3994
ENST00000472441		3115
ENST00000359359	NM_001286636	2565
ENST00000359359	NM_001286637	2565
ENST00000448520		894
ENST00000339503	NM_152360	2014
ENST00000314636	NM_176815	3927
ENST00000536220	NM_001172691	2257
ENST00000536220	NM_001172690	2257
ENST00000382492	NM_019599	1359
ENST00000600556		742
ENST00000491330		563
ENST00000373556	NM_001166422	704
ENST00000431721	NM_001190316	2174
ENST00000376234	NM_001079669	3483
ENST00000622226		6559
ENST00000493348		976
ENST00000514078		754
ENST00000304045	NM_001243126	1975
ENST00000309035	NM_022802	3669
ENST00000483180		2006
ENST00000460899		1094
ENST00000477189		572
ENST00000371481	NM_001195755	3605
ENST00000506107		544
ENST00000619692		600
ENST00000506620		454
ENST00000602161		566
ENST00000336906	NM_000184	602
ENST00000373554	NM_001166420	833
ENST00000456607	NM_001144962	1411
ENST00000456607	NM_001144963	1411
ENST00000304865	NM_001004454	930
ENST00000493298		702
ENST00000617095		564
ENST00000525866		2172
ENST00000444609		607
ENST00000371483	NM_181745	3653
ENST00000598360		626
ENST00000533265		1703
ENST00000324863		2752
ENST00000616410		544
ENST00000620888		582
ENST00000515172		713
ENST00000295238	NM_001241	4491
ENST00000621158	NM_052854	2687
ENST00000598041		542
ENST00000334808		2130
ENST00000449610		1673
ENST00000486704		330
ENST00000618614		465
ENST00000057513	NM_024873	2416
ENST00000604414		1142
ENST00000394054	NM_001005474	3787
ENST00000394221	NM_001195643	4038
ENST00000463117		1912
ENST00000502491		535
ENST00000427053	NM_001954	3845
ENST00000413298		792
ENST00000373589	NM_001166418	1740
ENST00000611302		556
ENST00000530962		927
ENST00000472210		387
ENST00000464275		1995
ENST00000579428		1583
ENST00000415092	NM_001297653	3678
ENST00000541261		475
ENST00000343765		2761
ENST00000450045		689
ENST00000601130		600
ENST00000458705	NM_006974	6084
ENST00000534787		561
ENST00000614502		599
ENST00000342624	NM_032813	3602
ENST00000553888	NM_022067	2934
ENST00000553888	NM_001193314	2934
ENST00000553888	NM_001193317	2934
ENST00000494596		539
ENST00000620371	NM_001146056	2392
ENST00000620371	NM_001146083	2392
ENST00000531469	NM_001290215	1918
ENST00000527342		438
ENST00000403080	NM_001160333	2462
ENST00000403080	NM_001005389	2462
ENST00000528924		664
ENST00000595940		552
ENST00000469037		1530
ENST00000477500		625
ENST00000557658	NM_001193315	2562
ENST00000461173		1831
ENST00000599248		408
ENST00000264157	NM_001320748	6917
ENST00000264157	NM_001320749	6917
ENST00000264157	NM_058241	6917
ENST00000530518		528
ENST00000443561		701
ENST00000493914		683
ENST00000593973		555
ENST00000275191	NM_014626	1157
ENST00000496983		591
ENST00000448935	NM_001193316	1623
ENST00000541080		745
ENST00000328767	NM_001286453	2101
ENST00000470947		796
ENST00000318080	NM_001257363	2763
ENST00000318080	NM_000755	2763
ENST00000528102		574
ENST00000494626	NM_001290214	2014
ENST00000465939		1080
ENST00000475094		606
ENST00000619045		1802
ENST00000332262	NM_001199818	3720
ENST00000332262	NM_138437	3720
ENST00000600497		626
ENST00000339162		2226
ENST00000534616		765
ENST00000446860	NM_001190317	1565
ENST00000464932		723
ENST00000455396		795
ENST00000597024		501
ENST00000411419	NM_001083914	2036
ENST00000556412		1832
ENST00000616094		1817
ENST00000469299		871
ENST00000361727	NM_014141	9896
ENST00000449518	NM_001297654	3968
ENST00000449518	NM_013994	3968
ENST00000491819		3772
ENST00000483720		581
ENST00000493712		585
ENST00000455545		539
ENST00000326151		2058
ENST00000263119	NM_012295	7222
ENST00000436913	NM_001258391	2590
ENST00000417175		811
ENST00000421586		1068
ENST00000326172	NM_031419	3923
ENST00000490521		562
ENST00000486814		659
ENST00000622702		1490
ENST00000418356		918
ENST00000367931	NM_001033080	1056
ENST00000459657		893
ENST00000412795		750
ENST00000395705		580
ENST00000405822		6952
ENST00000469477		1616
ENST00000452521		638
ENST00000491270		473
ENST00000480558		753
ENST00000637150		1767
ENST00000486955		571
ENST00000582534		378
ENST00000486444		613
ENST00000445422		1472
ENST00000368520		7918
ENST00000438691		632
ENST00000430799		6521
ENST00000637105		100
ENST00000636561		1787
ENST00000417896		1124
ENST00000460976		603
ENST00000491281		564
ENST00000578506		539
ENST00000476504		706
ENST00000543253	NM_001004051	3935
ENST00000543253	NM_001184876	3935
ENST00000543253	NM_001184874	3935
ENST00000469258		732
ENST00000443964		973
ENST00000535209	NM_001184875	3847
ENST00000359678	NM_014362	1939
ENST00000398319	NM_001199281	7480
ENST00000553576		547
ENST00000637465		699
ENST00000493552		100
ENST00000463027		562
ENST00000637694		2213
ENST00000583620		578
ENST00000465476		806
ENST00000436134		631
ENST00000219454	NM_021197	1534
ENST00000219454	NM_001282467	1534
ENST00000219454	NM_001282466	1534
ENST00000477601		548
ENST00000474981		426
ENST00000453202		571
ENST00000476817		705
ENST00000486981		581
ENST00000638117		2087
ENST00000484593		561
ENST00000440424		537
ENST00000308618	NM_001080458	4203
ENST00000580970		641
ENST00000636277		100
ENST00000507879	NM_001128843	1778
ENST00000568638		1319
ENST00000550522		567
ENST00000636600		100
ENST00000478556		539
ENST00000401701		789
ENST00000637555		2341
ENST00000496016		557
ENST00000530884		578
ENST00000613603		549
ENST00000434860		560
ENST00000553691		806
ENST00000410045		854
ENST00000367421		1043
ENST00000489713		2733
ENST00000456729		449
ENST00000252945	NM_000773	1667
ENST00000555854		444
ENST00000424035		568
ENST00000467937		593
ENST00000612583		1978
ENST00000530930		425
ENST00000416732		502
ENST00000567056		4148
ENST00000495089		877
ENST00000399816	NM_001145161	4317
ENST00000476645		464
ENST00000557466		533
ENST00000622779		4177
ENST00000495719		482
ENST00000462211		1278
ENST00000489147		3383
ENST00000467395		410
ENST00000509841	NM_001244764	1575
ENST00000556909		540
ENST00000393193	NM_001018136	1021
ENST00000409820		511
ENST00000455376	NM_005007	1478
ENST00000342380	NM_001002036	1296
ENST00000620811		3420
ENST00000537513		1335
ENST00000432678	NM_001146178	1309
ENST00000432678	NM_001146179	1309
ENST00000470582		640
ENST00000327028		2614
ENST00000469446		481
ENST00000265986	NM_001322795	5877
ENST00000265986	NM_001322796	5877
ENST00000265986	NM_004969	5877
ENST00000511206		3395
ENST00000462241		3588
