Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
AP1S1	ENST00000337619.5	adaptor-related protein complex 1, sigma 1 subunit 	750	1	0	1	0	0	0	0	0	1	hsa-miR-1-3p	-0.36	-0.40	0.83	2011
PDGFA	ENST00000354513.5	platelet-derived growth factor alpha polypeptide 	25	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.35	-0.35	0.84	2007, 2009, 2011
TPK1	ENST00000549981.1	thiamin pyrophosphokinase 1 	7	1	0	0	1	1	0	0	1	2	hsa-miR-1-3p	-0.35	-0.40	0.79	
GPR125	ENST00000334304.5	G protein-coupled receptor 125 	1042	1	0	1	0	0	0	0	0	1	hsa-miR-1-3p	-0.35	-0.35	0.84	2005, 2007, 2009, 2011
MATR3	ENST00000510056.1	matrin 3 	216	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.35	-0.37	0.92	2005, 2007, 2009, 2011
ARF3	ENST00000256682.4	ADP-ribosylation factor 3 	1093	1	0	0	1	2	0	1	1	2	hsa-miR-1-3p	-0.35	-0.40	0.69	2005, 2007, 2009, 2011
PHAX	ENST00000297540.4	phosphorylated adaptor for RNA export 	309	1	0	1	0	2	1	1	0	0	hsa-miR-1-3p	-0.35	-0.67	0.84	2007, 2009, 2011
HSPD1	ENST00000388968.3	heat shock 60kDa protein 1 (chaperonin) 	42	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.35	-0.35	0.84	2005, 2007, 2009, 2011
FBXO33	ENST00000298097.7	F-box protein 33 	306	1	1	0	0	1	0	0	1	0	hsa-miR-1-3p	-0.35	-0.45	0.83	2005, 2007, 2009, 2011
DHX15	ENST00000336812.4	DEAH (Asp-Glu-Ala-His) box helicase 15 	1050	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.35	-0.35	0.79	2005, 2007, 2009, 2011
BRI3BP	ENST00000341446.8	BRI3 binding protein 	820	1	0	1	0	2	0	1	1	1	hsa-miR-1-3p	-0.34	-0.40	0.85	
RSPO3	ENST00000356698.4	R-spondin 3 	118	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.34	-0.34	0.84	2007, 2009, 2011
NAP1L5	ENST00000323061.5	nucleosome assembly protein 1-like 5 	28	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.34	-0.34	0.31	2005, 2007, 2009, 2011
CLCN3	ENST00000513761.1	chloride channel, voltage-sensitive 3 	1142	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.34	-0.34	0.92	2005, 2007, 2009, 2011
THBS1	ENST00000260356.5	thrombospondin 1 	46844	1	0	1	0	1	0	0	1	1	hsa-miR-1-3p	-0.34	-0.40	0.84	2009, 2011
KMT2E	ENST00000334877.4	lysine (K)-specific methyltransferase 2E 	654	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.34	-0.34	0.96	2005, 2007, 2009, 2011
SLC25A22	ENST00000320230.5	solute carrier family 25 (mitochondrial carrier: glutamate), member 22 	319	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.34	-0.34	0.82	2009, 2011
MBLAC2	ENST00000316610.6	metallo-beta-lactamase domain containing 2 	498	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.34	-0.34	< 0.1	2011
CPLX2	ENST00000359546.4	complexin 2 	5	2	1	1	0	0	0	0	0	1	hsa-miR-1-3p	-0.34	-0.34	0.92	2005, 2007, 2009, 2011
CCNC	ENST00000520371.1	cyclin C 	524	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.34	-0.34	0.51	2011
MEOX2	ENST00000262041.5	mesenchyme homeobox 2 	5	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.34	-0.34	0.48	2005, 2007, 2009, 2011
PTPRG	ENST00000474889.1	protein tyrosine phosphatase, receptor type, G 	696	2	2	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.34	-0.37	0.95	2005, 2007, 2009, 2011
CPEB1	ENST00000450751.2	cytoplasmic polyadenylation element binding protein 1 	5	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.34	-0.34	0.77	2005, 2007, 2009, 2011
TPPP	ENST00000360578.5	tubulin polymerization promoting protein 	7	1	0	1	0	0	0	0	0	0	hsa-miR-206	-0.33	-0.33	0.80	2005, 2007, 2009, 2011
KALRN	ENST00000393496.1	kalirin, RhoGEF kinase 	83	1	0	1	0	0	0	0	0	0	hsa-miR-206	-0.33	-0.33	0.78	
FAM155A	ENST00000375915.2	family with sequence similarity 155, member A 	118	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.33	-0.33	0.76	2007, 2009, 2011
NDFIP2	ENST00000218652.7	Nedd4 family interacting protein 2 	1747	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.33	-0.33	0.84	2009, 2011
NET1	ENST00000355029.4	neuroepithelial cell transforming 1 	73	1	0	1	0	0	0	0	0	0	hsa-miR-206	-0.33	-0.33	0.82	2009, 2011
BPNT1	ENST00000322067.7	3'(2'), 5'-bisphosphate nucleotidase 1 	201	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.33	-0.33	0.81	2005, 2007, 2009, 2011
ANXA4	ENST00000394295.4	annexin A4 	2119	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.33	-0.54	0.69	2005, 2007, 2009, 2011
ZNF26	ENST00000328654.5	zinc finger protein 26 	51	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.33	-0.34	0.39	2011
MXD4	ENST00000337190.2	MAX dimerization protein 4 	1173	1	0	0	1	0	0	0	0	0	hsa-miR-206	-0.33	-0.33	0.68	2005, 2007, 2009, 2011
PFN2	ENST00000239940.7	profilin 2 	2184	1	1	0	0	0	0	0	0	1	hsa-miR-206	-0.33	-0.33	0.62	2009, 2011
BACH2	ENST00000257749.4	BTB and CNC homology 1, basic leucine zipper transcription factor 2 	74	1	0	1	0	2	1	0	1	0	hsa-miR-206	-0.33	-0.35	0.84	2005, 2007, 2009, 2011
SH3GL1	ENST00000269886.3	SH3-domain GRB2-like 1 	739	2	0	1	1	0	0	0	0	0	hsa-miR-206	-0.32	-0.32	0.92	2009, 2011
WDR61	ENST00000558311.1	WD repeat domain 61 	1987	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.32	-0.32	0.27	2007
FOSB	ENST00000586615.1	FBJ murine osteosarcoma viral oncogene homolog B 	11	1	1	0	0	0	0	0	0	1	hsa-miR-206	-0.32	-0.32	0.80	2005, 2007, 2009, 2011
TMEM55B	ENST00000250489.4	transmembrane protein 55B 	623	1	1	0	0	0	0	0	0	1	hsa-miR-1-3p	-0.32	-0.32	0.72	2007, 2009, 2011
SEC63	ENST00000369002.4	SEC63 homolog (S. cerevisiae) 	3181	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.32	-0.32	0.95	2005, 2007, 2009, 2011
KANK4	ENST00000317477.4	KN motif and ankyrin repeat domains 4 	80	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.32	-0.32	0.83	2007, 2009, 2011
LRRC59	ENST00000225972.7	leucine rich repeat containing 59 	27064	1	0	1	0	0	0	0	0	2	hsa-miR-206	-0.31	-0.36	0.36	
WDR1	ENST00000499869.2	WD repeat domain 1 	8818	1	1	0	0	0	0	0	0	0	hsa-miR-206	-0.31	-0.33	0.91	2005, 2007, 2009, 2011
SMAP1	ENST00000370455.3	small ArfGAP 1 	64	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.31	-0.31	0.71	2005, 2007, 2009, 2011
POTEI	ENST00000451531.2	POTE ankyrin domain family, member I 	5	1	0	0	1	1	0	0	1	1	hsa-miR-1-3p	-0.31	-0.31	0.67	
MAP4K3	ENST00000263881.3	mitogen-activated protein kinase kinase kinase kinase 3 	796	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.31	-0.31	0.62	2005, 2007, 2009, 2011
RSBN1L	ENST00000334955.8	round spermatid basic protein 1-like 	640	2	1	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.31	-0.54	0.96	2005, 2007, 2009, 2011
C16orf47	ENST00000358463.2	chromosome 16 open reading frame 47 	8	1	0	1	0	0	0	0	0	0	hsa-miR-206	-0.31	-0.31	0.30	
DGKE	ENST00000284061.3	diacylglycerol kinase, epsilon 64kDa 	470	1	0	1	0	1	1	0	0	0	hsa-miR-1-3p	-0.31	-0.39	0.48	2011
FUBP1	ENST00000370767.1	far upstream element (FUSE) binding protein 1 	2021	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.31	-0.31	0.84	2009, 2011
ANP32B	ENST00000339399.4	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B 	1003	1	0	1	0	0	0	0	0	0	hsa-miR-206	-0.31	-0.31	0.84	2005, 2007, 2009, 2011
USP33	ENST00000370794.3	ubiquitin specific peptidase 33 	287	1	0	1	0	0	0	0	0	0	hsa-miR-206	-0.31	-0.31	0.82	2005, 2007, 2009, 2011
ETS1	ENST00000345075.4	v-ets avian erythroblastosis virus E26 oncogene homolog 1 	1423	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.31	-0.33	0.93	2005, 2007, 2009, 2011
POLR3G	ENST00000504930.1	polymerase (RNA) III (DNA directed) polypeptide G (32kD) 	67	1	0	1	0	0	0	0	0	0	hsa-miR-206	-0.30	-0.30	0.58	
HSP90B1	ENST00000299767.5	heat shock protein 90kDa beta (Grp94), member 1 	42	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.30	-0.32	0.84	2007, 2009, 2011
AXL	ENST00000301178.4	AXL receptor tyrosine kinase 	976	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.30	-0.30	0.33	
H3F3C	ENST00000340398.3	H3 histone, family 3C 	7	1	0	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.30	-0.30	0.63	2007, 2009
CLOCK	ENST00000309964.4	clock circadian regulator 	86	2	0	1	1	1	0	1	0	0	hsa-miR-1-3p	-0.30	-0.32	0.93	2005, 2007
SRSF1	ENST00000258962.4	serine/arginine-rich splicing factor 1 	1430	1	0	1	0	2*	1	0	0	3	hsa-miR-1-3p	-0.30	-0.48	0.84	2005, 2007, 2009, 2011
CD164	ENST00000368961.5	CD164 molecule, sialomucin 	2038	1	1	0	0	0	0	0	0	1	hsa-miR-206	-0.30	-0.38	< 0.1	2009
YRDC	ENST00000373044.2	yrdC N(6)-threonylcarbamoyltransferase domain containing 	2195	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.30	-0.30	0.40	
CDK4	ENST00000312990.6	cyclin-dependent kinase 4 	290	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.30	-0.34	0.55	
GCFC2	ENST00000541687.1	GC-rich sequence DNA-binding factor 2 	88	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.30	-0.30	ORF	
ZNF280C	ENST00000370978.4	zinc finger protein 280C 	138	1	1	0	0	1	0	0	1	1	hsa-miR-1-3p	-0.30	-0.31	0.35	2011
PPP4R2	ENST00000356692.5	protein phosphatase 4, regulatory subunit 2 	310	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.30	-0.30	0.80	
GLS	ENST00000338435.4	glutaminase 	1927	1	1	0	0	0	0	0	0	1	hsa-miR-1-3p	-0.30	-0.30	0.22	
ARFIP1	ENST00000451320.2	ADP-ribosylation factor interacting protein 1 	275	1	0	1	0	0	0	0	0	2	hsa-miR-1-3p	-0.30	-0.31	0.47	2011
PRKRIR	ENST00000260045.3	protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor) 	13	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.30	-0.30	0.79	2009, 2011
VPS45	ENST00000369130.3	vacuolar protein sorting 45 homolog (S. cerevisiae) 	153	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.30	-0.30	0.62	2009, 2011
HNRNPA3	ENST00000411529.2	heterogeneous nuclear ribonucleoprotein A3 	329	2	1	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.29	-0.53	0.93	2007, 2009, 2011
MIER1	ENST00000357692.2	mesoderm induction early response 1, transcriptional regulator 	950	1	1	0	0	0	0	0	0	2	hsa-miR-1-3p	-0.29	-0.44	0.82	2009, 2011
WBP1L	ENST00000369889.4	WW domain binding protein 1-like 	5	2	0	2	0	0	0	0	0	1	hsa-miR-206	-0.29	-0.29	0.94	2009, 2011
ANP32E	ENST00000533654.1	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E 	572	1	0	0	1	0	0	0	0	1	hsa-miR-1-3p	-0.29	-0.30	0.68	2009, 2011
MECOM	ENST00000460814.1	MDS1 and EVI1 complex locus 	138	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.29	-0.31	0.76	2009, 2011
NME1-NME2	ENST00000512737.1	NME1-NME2 readthrough 	191	1	0	0	1	0	0	0	0	0	hsa-miR-206	-0.29	-0.30	0.68	
FN1	ENST00000357009.2	fibronectin 1 	1064	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.29	-0.38	0.20	2005, 2007, 2011
MPZL1	ENST00000474859.1	myelin protein zero-like 1 	3146	1	0	1	0	1	0	0	1	0	hsa-miR-206	-0.29	-0.38	0.52	2011
SNX2	ENST00000379516.2	sorting nexin 2 	397	1	0	1	0	0	0	0	0	1	hsa-miR-206	-0.29	-0.42	0.84	2005, 2007, 2009, 2011
ARID2	ENST00000457135.1	AT rich interactive domain 2 (ARID, RFX-like) 	891	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.29	-0.29	0.78	2005, 2007, 2009, 2011
CBL	ENST00000264033.4	Cbl proto-oncogene, E3 ubiquitin protein ligase 	309	1	1	0	0	1	0	0	1	0	hsa-miR-1-3p	-0.29	-0.29	0.91	2011
CALM2	ENST00000272298.7	calmodulin 2 (phosphorylase kinase, delta) 	22519	1	0	0	1	0	0	0	0	1	hsa-miR-1-3p	-0.29	-0.29	0.67	2005, 2007, 2009, 2011
JUND	ENST00000252818.3	jun D proto-oncogene 	13688	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.29	-0.29	0.79	2005, 2007, 2009, 2011
FLI1	ENST00000527786.2	Fli-1 proto-oncogene, ETS transcription factor 	116	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.29	-0.29	0.55	
OTX2	ENST00000339475.5	orthodenticle homeobox 2 	5	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.29	-0.29	0.49	2005, 2007, 2009, 2011
GCLC	ENST00000229416.6	glutamate-cysteine ligase, catalytic subunit 	1001	1	0	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.29	-0.29	0.68	2005, 2007, 2009, 2011
NINJ1	ENST00000375446.4	ninjurin 1 	1216	1	1	0	0	0	0	0	0	1	hsa-miR-1-3p	-0.29	-0.29	0.20	2011
CERS2	ENST00000368954.5	ceramide synthase 2 	4620	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.29	-0.29	0.68	2009, 2011
LRRC8A	ENST00000372600.4	leucine rich repeat containing 8 family, member A 	71	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.28	-0.28	0.81	2011
COL25A1	ENST00000399132.1	collagen, type XXV, alpha 1 	270	1	1	0	0	1	0	1	0	1	hsa-miR-1-3p	-0.28	-0.38	0.67	
PRKACB	ENST00000370689.2	protein kinase, cAMP-dependent, catalytic, beta 	344	1	0	0	1	2	0	1	1	0	hsa-miR-206	-0.28	-0.28	0.72	2005, 2007
MCTP1	ENST00000515393.1	multiple C2 domains, transmembrane 1 	81	1	0	0	1	0	0	0	0	1	hsa-miR-1-3p	-0.28	-0.32	0.68	2011
NCK2	ENST00000451463.2	NCK adaptor protein 2 	178	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.28	-0.29	0.62	2005, 2007, 2009, 2011
PDE12	ENST00000311180.8	phosphodiesterase 12 	326	1	1	0	0	2	2	0	0	1	hsa-miR-206	-0.28	-0.45	0.35	
TKT	ENST00000462138.1	transketolase 	1351	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.28	-0.28	0.81	2005, 2007
EHMT2	ENST00000395728.3	euchromatic histone-lysine N-methyltransferase 2 	1379	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.28	-0.28	0.71	2011
CREBL2	ENST00000228865.2	cAMP responsive element binding protein-like 2 	218	2	1	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.28	-0.58	0.91	2005, 2007, 2009, 2011
ACER2	ENST00000340967.2	alkaline ceramidase 2 	44	1	1	0	0	1	0	1	0	1	hsa-miR-1-3p	-0.28	-0.31	0.70	2009, 2011
PDIK1L	ENST00000374271.4	PDLIM1 interacting kinase 1 like 	5	2	0	1	1	0	0	0	0	0	hsa-miR-1-3p	-0.28	-0.28	0.94	2005, 2007, 2009, 2011
CDC42	ENST00000344548.3	cell division cycle 42 	34	1	1	0	0	0	0	0	0	0	hsa-miR-206	-0.28	-0.28	0.17	2005, 2007, 2009
SLC35B4	ENST00000378509.4	solute carrier family 35 (UDP-xylose/UDP-N-acetylglucosamine transporter), member B4 	899	1	1	0	0	4	1	0	3	3	hsa-miR-1-3p	-0.28	-0.54	< 0.1	2009, 2011
SLC35F1	ENST00000360388.4	solute carrier family 35, member F1 	56	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.28	-0.28	0.78	2007, 2009, 2011
SLC39A9	ENST00000031146.4	solute carrier family 39, member 9 	824	1	0	0	1	2	0	1	1	2	hsa-miR-1-3p	-0.28	-0.32	0.68	2011
SLC39A10	ENST00000409086.3	solute carrier family 39 (zinc transporter), member 10 	511	1	0	1	0	2	0	0	2	0	hsa-miR-1-3p	-0.28	-0.29	0.80	2005, 2007, 2009, 2011
ATP6V1A	ENST00000273398.3	ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A 	180	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.28	-0.28	0.83	2005, 2007, 2009, 2011
TGIF2	ENST00000373874.2	TGFB-induced factor homeobox 2 	192	1	1	0	0	0	0	0	0	1	hsa-miR-206	-0.28	-0.28	0.69	2005, 2007, 2009, 2011
MTX1	ENST00000609421.1	metaxin 1 	5	1	0	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.28	-0.28	0.63	2009, 2011
FAM83A	ENST00000518448.1	family with sequence similarity 83, member A 	22	1	1	0	0	1	1	0	0	0	hsa-miR-1-3p	-0.28	-0.28	0.44	2011
CAPZA1	ENST00000263168.3	capping protein (actin filament) muscle Z-line, alpha 1 	1159	1	0	1	0	1	0	0	1	0	hsa-miR-1-3p	-0.28	-0.37	0.70	
PICALM	ENST00000532317.1	phosphatidylinositol binding clathrin assembly protein 	1173	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.27	-0.28	0.79	2005, 2007, 2009, 2011
C2CD5	ENST00000333957.4	C2 calcium-dependent domain containing 5 	66	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.27	-0.27	0.46	2009, 2011
SKIDA1	ENST00000449193.2	SKI/DACH domain containing 1 	18	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.27	-0.27	0.68	2009, 2011
YPEL2	ENST00000312655.4	yippee-like 2 (Drosophila) 	62	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.27	-0.27	0.68	2005, 2007, 2009, 2011
SNAI2	ENST00000020945.1	snail family zinc finger 2 	1233	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.27	-0.27	0.72	2009, 2011
JARID2	ENST00000341776.2	jumonji, AT rich interactive domain 2 	199	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.27	-0.27	0.75	2009, 2011
STARD7	ENST00000337288.5	StAR-related lipid transfer (START) domain containing 7 	17	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.27	-0.27	0.73	2005, 2007, 2009, 2011
H3F3B	ENST00000591890.1	H3 histone, family 3B (H3.3B) 	336	1	0	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.27	-0.32	0.68	2005, 2007, 2009, 2011
MET	ENST00000397752.3	met proto-oncogene 	1155	2	0	2	0	0	0	0	0	0	hsa-miR-1-3p	-0.27	-0.27	0.62	2011
NME2	ENST00000376392.6	NME/NM23 nucleoside diphosphate kinase 2 	191	1	0	0	1	0	0	0	0	0	hsa-miR-206	-0.27	-0.27	0.68	
SP2	ENST00000376741.4	Sp2 transcription factor 	779	1	1	0	0	0	0	0	0	1	hsa-miR-1-3p	-0.27	-0.27	0.95	2005, 2007, 2009, 2011
FAM102A	ENST00000373095.1	family with sequence similarity 102, member A 	85	1	0	0	1	1	0	0	1	0	hsa-miR-206	-0.27	-0.27	0.79	2009, 2011
CASK	ENST00000421587.2	calcium/calmodulin-dependent serine protein kinase (MAGUK family) 	892	1	0	1	0	3	0	0	3	3	hsa-miR-1-3p	-0.27	-0.33	0.79	2011
LCOR	ENST00000371103.3	ligand dependent nuclear receptor corepressor 	94	2	0	2	0	0	0	0	0	1	hsa-miR-1-3p	-0.27	-0.33	0.93	2011
KCNA5	ENST00000252321.3	potassium voltage-gated channel, shaker-related subfamily, member 5 	5	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.27	-0.27	0.39	2005, 2007, 2009, 2011
NR1H3	ENST00000467728.1	nuclear receptor subfamily 1, group H, member 3 	714	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.26	-0.26	0.38	2005, 2007, 2009, 2011
MOG	ENST00000376894.4	myelin oligodendrocyte glycoprotein 	5	1	1	0	0	1	0	0	1	1	hsa-miR-206	-0.26	-0.26	0.19	2011
ANKRD34B	ENST00000338682.3	ankyrin repeat domain 34B 	5	1	1	0	0	0	0	0	0	1	hsa-miR-206	-0.26	-0.26	< 0.1	2011
DGKH	ENST00000261491.5	diacylglycerol kinase, eta 	46	2	1	1	0	0	0	0	0	1	hsa-miR-1-3p	-0.26	-0.28	0.91	
HNRNPK	ENST00000376281.4	heterogeneous nuclear ribonucleoprotein K 	124	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.26	-0.26	0.84	2005, 2007, 2009, 2011
ZNF597	ENST00000301744.4	zinc finger protein 597 	159	1	0	1	0	0	0	0	0	1	hsa-miR-206	-0.26	-0.26	0.55	
PTPRS	ENST00000372412.4	protein tyrosine phosphatase, receptor type, S 	322	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.26	-0.26	0.83	2009, 2011
CXCR4	ENST00000409817.1	chemokine (C-X-C motif) receptor 4 	14	1	1	0	0	0	0	0	0	1	hsa-miR-1-3p	-0.26	-0.38	0.13	
DCAF12L1	ENST00000371126.1	DDB1 and CUL4 associated factor 12-like 1 	5	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.26	-0.26	0.12	2005, 2007, 2009, 2011
FBXW7	ENST00000281708.4	F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase 	12	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.26	-0.26	0.79	2007, 2009, 2011
ATG13	ENST00000359513.4	autophagy related 13 	834	1	1	0	0	0	0	0	0	1	hsa-miR-206	-0.26	-0.26	0.67	2005, 2007, 2009, 2011
FNBP1L	ENST00000370253.2	formin binding protein 1-like 	219	1	1	0	0	0	0	0	0	0	hsa-miR-206	-0.26	-0.26	0.74	2009, 2011
OSTF1	ENST00000346234.6	osteoclast stimulating factor 1 	107	1	0	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.26	-0.26	0.68	2009
C7orf43	ENST00000394035.2	chromosome 7 open reading frame 43 	5436	1	0	1	0	1	0	0	1	1	hsa-miR-206	-0.26	-0.32	0.30	2011
SEC61A1	ENST00000243253.3	Sec61 alpha 1 subunit (S. cerevisiae) 	2966	1	0	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.26	-0.26	0.68	2005, 2007, 2009, 2011
SOX9	ENST00000245479.2	SRY (sex determining region Y)-box 9 	2595	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.26	-0.28	0.37	2009, 2011
TERF2	ENST00000254942.3	telomeric repeat binding factor 2 	709	1	0	1	0	0	0	0	0	0	hsa-miR-206	-0.26	-0.26	0.82	
AIF1L	ENST00000372300.1	allograft inflammatory factor 1-like 	487	1	0	1	0	1	0	0	1	0	hsa-miR-206	-0.25	-0.35	0.64	2009, 2011
PARVA	ENST00000334956.8	parvin, alpha 	1912	2	0	1	1	1	0	0	1	2	hsa-miR-1-3p	-0.25	-0.35	0.80	2011
ACAP2	ENST00000326793.6	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2 	253	2	0	1	1	0	0	0	0	1	hsa-miR-1-3p	-0.25	-0.31	0.87	2005, 2007, 2009, 2011
ZBTB8A	ENST00000316459.4	zinc finger and BTB domain containing 8A 	287	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.25	-0.31	0.59	2009, 2011
HSPE1	ENST00000233893.5	heat shock 10kDa protein 1 (chaperonin 10) 	67	1	0	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.25	-0.25	0.65	2005, 2007, 2009, 2011
RNF14	ENST00000394520.2	ring finger protein 14 	20	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.25	-0.25	0.44	
SLC35B3	ENST00000379660.4	solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter), member B3 	83	1	0	0	1	0	0	0	0	0	hsa-miR-1-3p	-0.25	-0.26	0.62	
EIF1AD	ENST00000526451.1	eukaryotic translation initiation factor 1A domain containing 	359	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.25	-0.25	0.82	2009, 2011
COL4A3BP	ENST00000380494.5	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein 	134	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.25	-0.25	0.64	2011
ZNF800	ENST00000393313.1	zinc finger protein 800 	239	1	0	1	0	0	0	0	0	0	hsa-miR-1-3p	-0.25	-0.25	0.59	2007
MYLK	ENST00000360772.3	myosin light chain kinase 	2964	1	1	0	0	0	0	0	0	0	hsa-miR-1-3p	-0.25	-0.25	0.87	2005, 2007, 2009, 2011
WBP2	ENST00000254806.3	WW domain binding protein 2 	362	1	0	1	0	1	0	0	1	0	hsa-miR-206	-0.25	-0.25	0.75	2009, 2011
PTMA	ENST00000409115.3	prothymosin, alpha 	312	1	0	0	1	0	0	0	0	0	hsa-miR-206	-0.25	-0.25	0.65	2005, 2007, 2011
ZNF148	ENST00000360647.4	zinc finger protein 148 	230	2	0	1	1	0	0	0	0	1	hsa-miR-1-3p	-0.25	-0.27	0.88	2007, 2009, 2011
NFATC3	ENST00000329524.4	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3 	221	2	1	0	1	1	1	0	0	1	hsa-miR-1-3p	-0.25	-0.25	0.98	2011
SYT1	ENST00000457153.2	synaptotagmin I 	13	2	0	0	2	0	0	0	0	2	hsa-miR-1-3p	-0.25	-0.25	0.89	2005, 2007, 2009, 2011
SLC25A25	ENST00000373069.5	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25 	3454	1	1	0	0	1	0	0	1	1	hsa-miR-206	-0.25	-0.25	0.89	2005, 2007, 2009, 2011
