Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
MEF2A	ENST00000354410.5	myocyte enhancer factor 2A 	654	1	1	0	0	0	0	0	0	1	hsa-miR-155-5p	-0.23	-0.23	0.26	2009, 2011
ZNF248	ENST00000395867.3	zinc finger protein 248 	43	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.23	-0.23	< 0.1	2009, 2011
TOMM34	ENST00000372813.3	translocase of outer mitochondrial membrane 34 	1242	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.23	-0.23	0.44	2011
SALL1	ENST00000566102.1	sal-like 1 (Drosophila) 	95	1	0	0	1	0	0	0	0	1	hsa-miR-155-5p	-0.23	-0.24	0.46	2005, 2007, 2009, 2011
MYBL1	ENST00000522677.3	v-myb avian myeloblastosis viral oncogene homolog-like 1 	53	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.23	-0.23	0.15	2007, 2009, 2011
KLF3	ENST00000261438.5	Kruppel-like factor 3 (basic) 	515	2	0	0	2	1	0	0	1	1	hsa-miR-155-5p	-0.23	-0.39	0.81	2009, 2011
RAP1B	ENST00000250559.9	RAP1B, member of RAS oncogene family 	3599	1	0	0	1	0	0	0	0	1	hsa-miR-155-5p	-0.23	-0.23	0.39	2009, 2011
ELK3	ENST00000228741.3	ELK3, ETS-domain protein (SRF accessory protein 2) 	2719	1	0	0	1	1	0	0	1	0	hsa-miR-155-5p	-0.23	-0.23	0.72	
PAXBP1	ENST00000331923.4	PAX3 and PAX7 binding protein 1 	340	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.22	-0.40	0.26	2011
ZC2HC1C	ENST00000238686.8	zinc finger, C2HC-type containing 1C 	48	1	0	1	0	0	0	0	0	1	hsa-miR-155-5p	-0.22	-0.27	0.23	
CARD11	ENST00000396946.4	caspase recruitment domain family, member 11 	13	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.22	-0.22	0.57	2005, 2007, 2009, 2011
SLC33A1	ENST00000392845.3	solute carrier family 33 (acetyl-CoA transporter), member 1 	145	1	1	0	0	1	0	1	0	0	hsa-miR-155-5p	-0.22	-0.25	0.28	2011
VTI1B	ENST00000554659.1	vesicle transport through interaction with t-SNAREs 1B 	264	1	1	0	0	1	0	1	0	0	hsa-miR-155-5p	-0.22	-0.42	< 0.1	
PKN2	ENST00000370521.3	protein kinase N2 	747	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.22	-0.23	0.20	2007, 2009, 2011
E2F2	ENST00000361729.2	E2F transcription factor 2 	96	2	1	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.22	-0.22	0.92	2009, 2011
PHF17	ENST00000226319.6	PHD finger protein 17 	1393	1	1	0	0	0	0	0	0	1	hsa-miR-155-5p	-0.22	-0.22	< 0.1	2007, 2009, 2011
RELA	ENST00000525693.1	v-rel avian reticuloendotheliosis viral oncogene homolog A 	1707	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.22	-0.22	0.59	2011
SATB1	ENST00000338745.6	SATB homeobox 1 	312	1	0	1	0	1	0	1	0	0	hsa-miR-155-5p	-0.22	-0.24	0.23	2005, 2007, 2009, 2011
PIK3CA	ENST00000263967.3	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha 	112	1	0	1	0	0	0	0	0	1	hsa-miR-155-5p	-0.22	-0.22	0.23	
CTLA4	ENST00000427473.2	cytotoxic T-lymphocyte-associated protein 4 	5	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.22	-0.22	0.23	2005, 2007, 2011
RAPGEF2	ENST00000264431.4	Rap guanine nucleotide exchange factor (GEF) 2 	484	1	1	0	0	0	0	0	0	2	hsa-miR-155-5p	-0.22	-0.22	0.15	
LCORL	ENST00000326877.4	ligand dependent nuclear receptor corepressor-like 	194	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.22	-0.49	< 0.1	2007, 2009
S100PBP	ENST00000373475.5	S100P binding protein 	428	1	1	0	0	1	0	1	0	0	hsa-miR-155-5p	-0.22	-0.22	0.23	2009, 2011
HIF1A	ENST00000323441.6	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor) 	1955	1	0	1	0	1	0	1	0	0	hsa-miR-155-5p	-0.22	-0.24	0.23	2005, 2007
INSIG2	ENST00000245787.4	insulin induced gene 2 	562	1	1	0	0	1	0	1	0	1	hsa-miR-155-5p	-0.22	-0.29	0.30	
FLJ20373	ENST00000414004.2		75	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.21	-0.21	0.61	
STARD8	ENST00000252336.6	StAR-related lipid transfer (START) domain containing 8 	29	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.21	-0.21	0.23	
DNAJB7	ENST00000307221.4	DnaJ (Hsp40) homolog, subfamily B, member 7 	5	1	0	1	0	0	0	0	0	1	hsa-miR-155-5p	-0.21	-0.21	0.23	2005, 2007, 2009, 2011
PRKAR1A	ENST00000589228.1	protein kinase, cAMP-dependent, regulatory, type I, alpha 	1257	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.21	-0.21	< 0.1	2011
SEPHS1	ENST00000545675.1	selenophosphate synthetase 1 	281	1	0	1	0	0	0	0	0	1	hsa-miR-155-5p	-0.21	-0.24	0.23	
ZPLD1	ENST00000306176.1	zona pellucida-like domain containing 1 	5	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.21	-0.21	< 0.1	2009, 2011
GNAS	ENST00000371075.3	GNAS complex locus 	314	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.21	-0.37	< 0.1	2009, 2011
C10orf12	ENST00000286067.2	chromosome 10 open reading frame 12 	49	2	1	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.21	-0.32	0.81	2005, 2007, 2011
BPIFB2	ENST00000170150.3	BPI fold containing family B, member 2 	5	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.21	-0.21	0.46	2011
RSPO2	ENST00000517939.1	R-spondin 2 	5	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.21	-0.21	0.58	2007, 2009, 2011
TSPAN14	ENST00000429989.3	tetraspanin 14 	239	1	1	0	0	3	0	1	2	1	hsa-miR-155-5p	-0.21	-0.29	0.14	2007, 2009, 2011
CNIH1	ENST00000395573.4	cornichon family AMPA receptor auxiliary protein 1 	2182	1	0	0	1	1	0	0	1	0	hsa-miR-155-5p	-0.21	-0.25	0.46	2005, 2007
HMGCS1	ENST00000325110.6	3-hydroxy-3-methylglutaryl-CoA synthase 1 (soluble) 	3730	1	1	0	0	1	0	0	1	1	hsa-miR-155-5p	-0.21	-0.23	< 0.1	
ZNF618	ENST00000288466.7	zinc finger protein 618 	778	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.21	-0.21	0.91	2009, 2011
KPNA1	ENST00000344337.6	karyopherin alpha 1 (importin alpha 5) 	1030	1	0	0	1	2	1	0	1	2	hsa-miR-155-5p	-0.21	-0.32	0.67	2005, 2007, 2009, 2011
BSDC1	ENST00000341071.7	BSD domain containing 1 	714	1	1	0	0	0	0	0	0	1	hsa-miR-155-5p	-0.20	-0.21	0.18	2011
KIAA0087	ENST00000242109.3	KIAA0087 	5	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.20	-0.20	0.54	
SGIP1	ENST00000371036.3	SH3-domain GRB2-like (endophilin) interacting protein 1 	180	1	0	1	0	1	1	0	0	1	hsa-miR-155-5p	-0.20	-0.39	0.23	
COL21A1	ENST00000244728.5	collagen, type XXI, alpha 1 	9	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.20	-0.20	0.11	2009, 2011
RHEB	ENST00000262187.5	Ras homolog enriched in brain 	14	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.20	-0.20	0.73	2009, 2011
QKI	ENST00000392127.2	QKI, KH domain containing, RNA binding 	323	2	1	1	0	1	1	0	0	3	hsa-miR-155-5p	-0.20	-0.41	0.23	2011
OLFML3	ENST00000369551.1	olfactomedin-like 3 	24	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.20	-0.20	0.46	2005, 2007, 2009, 2011
XRN1	ENST00000264951.4	5'-3' exoribonuclease 1 	612	1	0	1	0	1	0	0	1	1	hsa-miR-155-5p	-0.20	-0.20	0.23	2009, 2011
FAM168A	ENST00000064778.4	family with sequence similarity 168, member A 	68	1	1	0	0	0	0	0	0	1	hsa-miR-155-5p	-0.20	-0.27	0.49	
TM9SF3	ENST00000371142.4	transmembrane 9 superfamily member 3 	1030	1	0	1	0	1	1	0	0	1	hsa-miR-155-5p	-0.20	-0.44	0.23	2011
MYO10	ENST00000513610.1	myosin X 	3866	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.20	-0.20	0.61	2005, 2007, 2009, 2011
FAM105A	ENST00000274217.3	family with sequence similarity 105, member A 	2613	1	0	1	0	1	0	0	1	0	hsa-miR-155-5p	-0.20	-0.22	0.23	2009, 2011
SPOCK1	ENST00000394945.1	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1 	935	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.19	-0.20	< 0.1	2009, 2011
THAP6	ENST00000311638.3	THAP domain containing 6 	24	1	0	1	0	0	0	0	0	1	hsa-miR-155-5p	-0.19	-0.19	0.23	2009, 2011
SLC12A6	ENST00000397707.2	solute carrier family 12 (potassium/chloride transporter), member 6 	17	1	0	1	0	2	1	1	0	0	hsa-miR-155-5p	-0.19	-0.22	0.23	2011
PEA15	ENST00000360472.4	phosphoprotein enriched in astrocytes 15 	5239	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.19	-0.22	0.30	2009, 2011
SMAD5	ENST00000545279.1	SMAD family member 5 	225	1	0	0	1	1	0	1	0	0	hsa-miR-155-5p	-0.19	-0.24	0.41	
ARL5B	ENST00000377275.3	ADP-ribosylation factor-like 5B 	368	2	1	1	0	2	1	0	1	0	hsa-miR-155-5p	-0.19	-0.77	0.34	2007, 2009, 2011
HAUS6	ENST00000380502.3	HAUS augmin-like complex, subunit 6 	24	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.19	-0.19	0.21	2009, 2011
TPD52	ENST00000379096.5	tumor protein D52 	4585	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.19	-0.19	0.41	
ATP6V1C1	ENST00000395862.3	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1 	951	1	0	0	1	0	0	0	0	1	hsa-miR-155-5p	-0.18	-0.20	0.47	2011
NR2F2	ENST00000394166.3	nuclear receptor subfamily 2, group F, member 2 	4428	2	0	0	2	0	0	0	0	0	hsa-miR-155-5p	-0.18	-0.30	0.64	2007
MIDN	ENST00000591446.2	midnolin 	621	2	1	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.18	-0.19	0.74	2005, 2007, 2009, 2011
MORC3	ENST00000400485.1	MORC family CW-type zinc finger 3 	142	1	1	0	0	0	0	0	0	1	hsa-miR-155-5p	-0.18	-0.18	< 0.1	
CAB39	ENST00000258418.5	calcium binding protein 39 	27	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.18	-0.31	0.28	2005, 2007, 2009, 2011
TCF12	ENST00000267811.5	transcription factor 12 	101	1	1	0	0	1	0	0	1	1	hsa-miR-155-5p	-0.18	-0.31	< 0.1	
GABRB2	ENST00000393959.1	gamma-aminobutyric acid (GABA) A receptor, beta 2 	5	1	0	0	1	1	0	1	0	0	hsa-miR-155-5p	-0.18	-0.18	0.52	
MAFB	ENST00000373313.2	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog B 	333	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.18	-0.18	0.49	2005, 2007, 2009, 2011
RP11-195F19.5	ENST00000416454.1	HCG2040265, isoform CRA_a; Uncharacterized protein; cDNA FLJ50015  	18	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.18	-0.18	ORF	
COLGALT1	ENST00000252599.4	collagen beta(1-O)galactosyltransferase 1 	427	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.18	-0.18	< 0.1	2011
DCP2	ENST00000389063.2	decapping mRNA 2 	155	1	0	0	1	1	0	1	0	2	hsa-miR-155-5p	-0.18	-0.25	0.50	
ZNF703	ENST00000331569.4	zinc finger protein 703 	1557	1	0	0	1	1	0	1	0	2	hsa-miR-155-5p	-0.18	-0.20	0.78	2007, 2009, 2011
C9orf69	ENST00000561457.1	chromosome 9 open reading frame 69 	134	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.17	-0.17	0.72	2009, 2011
MIER3	ENST00000381226.3	mesoderm induction early response 1, family member 3 	112	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.17	-0.22	0.23	2007, 2011
USP48	ENST00000400301.1	ubiquitin specific peptidase 48 	3036	1	0	0	1	1	0	1	0	0	hsa-miR-155-5p	-0.17	-0.32	0.55	2005, 2007, 2009, 2011
RBMS3	ENST00000396583.3	RNA binding motif, single stranded interacting protein 3 	56	2	1	1	0	1	0	1	0	2	hsa-miR-155-5p	-0.17	-0.30	0.59	2009, 2011
CNTN4	ENST00000427331.1	contactin 4 	191	1	0	1	0	0	0	0	0	1	hsa-miR-155-5p	-0.17	-0.18	0.23	2005, 2007
JHDM1D	ENST00000397560.2	jumonji C domain containing histone demethylase 1 homolog D (S. cerevisiae) 	470	2	1	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.17	-0.18	0.71	2009, 2011
TLE4	ENST00000376544.3	transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila) 	369	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.17	-0.40	0.55	2005, 2007, 2009, 2011
PTAR1	ENST00000377200.5	protein prenyltransferase alpha subunit repeat containing 1 	161	1	0	1	0	2	1	0	1	0	hsa-miR-155-5p	-0.17	-0.27	0.33	2009, 2011
RCOR1	ENST00000262241.6	REST corepressor 1 	403	1	0	1	0	1	0	0	1	2	hsa-miR-155-5p	-0.17	-0.26	0.49	2007, 2009, 2011
STRN3	ENST00000355683.5	striatin, calmodulin binding protein 3 	697	1	0	1	0	1	0	0	1	2	hsa-miR-155-5p	-0.17	-0.18	0.23	2009, 2011
ANTXR2	ENST00000403729.2	anthrax toxin receptor 2 	51	1	1	0	0	2	0	1	1	2	hsa-miR-155-5p	-0.17	-0.26	< 0.1	2005, 2007, 2011
CAMK4	ENST00000282356.4	calcium/calmodulin-dependent protein kinase IV 	73	1	1	0	0	0	0	0	0	4	hsa-miR-155-5p	-0.17	-0.19	0.12	
ZBTB16	ENST00000335953.4	zinc finger and BTB domain containing 16 	73	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.17	-0.18	0.52	
NR1H3	ENST00000467728.1	nuclear receptor subfamily 1, group H, member 3 	714	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.17	-0.17	0.36	2011
SEMA5A	ENST00000382496.5	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A 	98	1	1	0	0	1	0	1	0	2	hsa-miR-155-5p	-0.17	-0.18	0.50	2005, 2007, 2009, 2011
SMIM13	ENST00000416247.2	small integral membrane protein 13 	199	1	1	0	0	0	0	0	0	2	hsa-miR-155-5p	-0.17	-0.42	< 0.1	2011
SYVN1	ENST00000294256.8	synovial apoptosis inhibitor 1, synoviolin 	95	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.17	-0.23	0.59	2005, 2007, 2009, 2011
SAP30L	ENST00000297109.6	SAP30-like 	335	1	1	0	0	0	0	0	0	1	hsa-miR-155-5p	-0.17	-0.47	0.27	2011
EHF	ENST00000257831.3	ets homologous factor 	5	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.17	-0.17	0.64	2005, 2007, 2009, 2011
CTTNBP2NL	ENST00000271277.6	CTTNBP2 N-terminal like 	182	1	1	0	0	2	0	0	2	0	hsa-miR-155-5p	-0.17	-0.26	0.37	2011
SLC35F5	ENST00000245680.2	solute carrier family 35, member F5 	136	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.17	-0.19	0.23	2011
FAM212B	ENST00000357260.5	family with sequence similarity 212, member B 	211	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.17	-0.21	0.43	2011
KANSL1	ENST00000574590.1	KAT8 regulatory NSL complex subunit 1 	5	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.17	-0.17	0.69	2007, 2009, 2011
FXR1	ENST00000357559.4	fragile X mental retardation, autosomal homolog 1 	434	1	0	1	0	2	1	1	0	0	hsa-miR-155-5p	-0.17	-0.42	0.23	2009, 2011
KBTBD2	ENST00000304056.4	kelch repeat and BTB (POZ) domain containing 2 	2559	2	0	1	1	0	0	0	0	0	hsa-miR-155-5p	-0.16	-0.17	0.54	2005, 2007
CHD8	ENST00000430710.3	chromodomain helicase DNA binding protein 8 	191	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.16	-0.16	0.43	2007
SMTNL1	ENST00000457912.1	smoothelin-like 1 	5	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.16	-0.16	0.39	2009
NOVA1	ENST00000465357.2	neuro-oncological ventral antigen 1 	5	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.16	-0.16	0.23	2005, 2007, 2009, 2011
LRP12	ENST00000424843.2	low density lipoprotein receptor-related protein 12 	378	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.16	-0.16	0.57	
PPP1R3A	ENST00000284601.3	protein phosphatase 1, regulatory subunit 3A 	5	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.16	-0.16	0.34	
HHIP	ENST00000296575.3	hedgehog interacting protein 	65	2	1	0	1	1	0	1	0	0	hsa-miR-155-5p	-0.16	-0.36	0.85	
EMP2	ENST00000359543.3	epithelial membrane protein 2 	1725	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.16	-0.16	0.71	2011
GATA3	ENST00000379328.3	GATA binding protein 3 	136	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.16	-0.16	0.39	
KIF3A	ENST00000378746.4	kinesin family member 3A 	33	1	0	1	0	1	0	1	0	0	hsa-miR-155-5p	-0.16	-0.22	0.41	
NUP43	ENST00000367403.3	nucleoporin 43kDa 	113	1	0	1	0	1	0	1	0	0	hsa-miR-155-5p	-0.16	-0.25	< 0.1	
TADA2B	ENST00000310074.7	transcriptional adaptor 2B 	38	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.16	-0.32	0.64	2009, 2011
SHOX	ENST00000381578.1	short stature homeobox 	5	1	1	0	0	0	0	0	0	1	hsa-miR-155-5p	-0.16	-0.16	0.53	2009, 2011
ICOSLG	ENST00000407780.3	inducible T-cell co-stimulator ligand 	47	1	0	1	0	0	0	0	0	1	hsa-miR-155-5p	-0.16	-0.16	0.23	
BTBD3	ENST00000254977.3	BTB (POZ) domain containing 3 	3798	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.16	-0.17	0.23	2009, 2011
STXBP5L	ENST00000273666.6	syntaxin binding protein 5-like 	19	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.15	-0.15	< 0.1	2009, 2011
BNC2	ENST00000380672.4	basonuclin 2 	770	1	1	0	0	1	0	1	0	0	hsa-miR-155-5p	-0.15	-0.17	0.45	2009, 2011
DNAJB1	ENST00000254322.2	DnaJ (Hsp40) homolog, subfamily B, member 1 	29	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.15	-0.26	0.42	2005, 2007, 2009, 2011
AAK1	ENST00000409085.4	AP2 associated kinase 1 	27	1	0	1	0	2	0	2	0	3	hsa-miR-155-5p	-0.15	-0.20	0.23	2009, 2011
TRPS1	ENST00000395715.3	trichorhinophalangeal syndrome I 	94	1	1	0	0	1	0	0	1	2	hsa-miR-155-5p	-0.15	-0.15	0.57	2007, 2009, 2011
TBCK	ENST00000273980.5	TBC1 domain containing kinase 	20	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.15	-0.15	0.23	
ZFP36L2	ENST00000282388.3	ZFP36 ring finger protein-like 2 	317	1	0	1	0	0	0	0	0	1	hsa-miR-155-5p	-0.15	-0.15	0.23	
FBXO11	ENST00000402508.1	F-box protein 11 	359	1	0	1	0	1	0	0	1	0	hsa-miR-155-5p	-0.15	-0.26	0.31	2005, 2007, 2009, 2011
NFIB	ENST00000397575.3	nuclear factor I/B 	1149	1	0	0	1	1	0	0	1	1	hsa-miR-155-5p	-0.15	-0.15	0.56	2007
PROX1	ENST00000366958.4	prospero homeobox 1 	131	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.15	-0.16	0.23	
HS3ST3A1	ENST00000284110.1	heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1 	148	1	1	0	0	0	0	0	0	3	hsa-miR-155-5p	-0.15	-0.32	0.67	
PANK1	ENST00000322191.6	pantothenate kinase 1 	435	1	0	0	1	1	0	1	0	0	hsa-miR-155-5p	-0.15	-0.17	0.57	2005, 2007, 2011
ETNK2	ENST00000367201.3	ethanolamine kinase 2 	7	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.15	-0.15	0.46	2005, 2007, 2009, 2011
ZNF518B	ENST00000326756.3	zinc finger protein 518B 	95	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.15	-0.16	0.23	2005, 2007, 2011
BCAT1	ENST00000261192.7	branched chain amino-acid transaminase 1, cytosolic 	1346	1	0	1	0	3	0	2	1	1	hsa-miR-155-5p	-0.15	-0.16	0.23	2007, 2009, 2011
BRD1	ENST00000457780.2	bromodomain containing 1 	124	1	0	1	0	0	0	0	0	1	hsa-miR-155-5p	-0.15	-0.18	0.23	2005, 2007, 2009, 2011
KLHL8	ENST00000273963.5	kelch-like family member 8 	266	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.15	-0.15	0.23	2011
ZSWIM6	ENST00000252744.5	zinc finger, SWIM-type containing 6 	933	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.15	-0.15	0.48	2011
SPIN1	ENST00000375859.3	spindlin 1 	686	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.15	-0.15	0.23	
RORA	ENST00000335670.6	RAR-related orphan receptor A 	102	1	0	1	0	1	0	0	1	3	hsa-miR-155-5p	-0.15	-0.17	0.28	2011
ZMYND11	ENST00000381591.1	zinc finger, MYND-type containing 11 	43	1	0	1	0	0	0	0	0	1	hsa-miR-155-5p	-0.15	-0.18	0.23	2011
PALLD	ENST00000261509.6	palladin, cytoskeletal associated protein 	4423	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.15	-0.15	0.23	
PELI1	ENST00000358912.4	pellino E3 ubiquitin protein ligase 1 	134	1	0	0	1	0	0	0	0	1	hsa-miR-155-5p	-0.14	-0.14	0.37	2005, 2007
SYT10	ENST00000228567.3	synaptotagmin X 	5	1	0	1	0	0	0	0	0	1	hsa-miR-155-5p	-0.14	-0.14	0.23	
STON1	ENST00000309835.3	stonin 1 	254	1	1	0	0	1	0	1	0	0	hsa-miR-155-5p	-0.14	-0.15	0.23	2007, 2009, 2011
ZNF236	ENST00000253159.8	zinc finger protein 236 	60	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.14	-0.32	0.33	2005, 2007, 2009, 2011
RSRC2	ENST00000331738.7	arginine/serine-rich coiled-coil 2 	320	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.14	-0.21	0.45	
PRMT10	ENST00000322396.6	protein arginine methyltransferase 10 (putative) 	71	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.14	-0.21	0.23	
MSI2	ENST00000284073.2	musashi RNA-binding protein 2 	283	1	0	0	1	1	0	0	1	1	hsa-miR-155-5p	-0.14	-0.17	0.51	
EPC2	ENST00000258484.6	enhancer of polycomb homolog 2 (Drosophila) 	152	1	1	0	0	0	0	0	0	1	hsa-miR-155-5p	-0.14	-0.17	0.12	
LNX2	ENST00000316334.3	ligand of numb-protein X 2 	760	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.14	-0.14	< 0.1	2011
FGF2	ENST00000264498.3	fibroblast growth factor 2 (basic) 	123	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.14	-0.19	0.23	
SOCS6	ENST00000397942.3	suppressor of cytokine signaling 6 	140	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.14	-0.14	0.44	2007, 2009, 2011
CDC37	ENST00000222005.2	cell division cycle 37 	3905	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.14	-0.14	0.23	
SKI	ENST00000378536.4	v-ski avian sarcoma viral oncogene homolog 	613	1	0	1	0	0	0	0	0	1	hsa-miR-155-5p	-0.14	-0.14	0.23	2005, 2007, 2009, 2011
SLC35E2B	ENST00000378662.1	solute carrier family 35, member E2B 	5	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.14	-0.14	0.22	2009, 2011
TRIM44	ENST00000299413.5	tripartite motif containing 44 	4203	1	1	0	0	1	0	0	1	0	hsa-miR-155-5p	-0.14	-0.21	0.62	2011
RICTOR	ENST00000357387.3	RPTOR independent companion of MTOR, complex 2 	441	2	1	0	1	1	0	0	1	0	hsa-miR-155-5p	-0.14	-0.14	0.46	2007, 2009, 2011
CTDSPL2	ENST00000260327.4	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2 	457	1	0	0	1	1	0	0	1	0	hsa-miR-155-5p	-0.14	-0.16	0.65	2007
AGO4	ENST00000373210.3	argonaute RISC catalytic component 4 	96	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.14	-0.14	0.11	2009, 2011
PDE7A	ENST00000401827.3	phosphodiesterase 7A 	84	1	0	1	0	2	0	0	2	0	hsa-miR-155-5p	-0.14	-0.22	0.24	2011
KIF26B	ENST00000366518.4	kinesin family member 26B 	25	1	0	0	1	2	1	1	0	0	hsa-miR-155-5p	-0.14	-0.14	0.79	
G3BP2	ENST00000395719.3	GTPase activating protein (SH3 domain) binding protein 2 	4413	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.14	-0.14	0.23	2007, 2011
RAPGEF4	ENST00000409036.1	Rap guanine nucleotide exchange factor (GEF) 4 	60	1	0	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.13	-0.13	0.67	2007
SP3	ENST00000310015.6	Sp3 transcription factor 	285	1	0	1	0	2	0	2	0	0	hsa-miR-155-5p	-0.13	-0.17	0.23	2005, 2007, 2009, 2011
YWHAE	ENST00000264335.8	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide 	144	1	0	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.13	-0.14	0.23	2005, 2007, 2009, 2011
ANKFY1	ENST00000341657.4	ankyrin repeat and FYVE domain containing 1 	969	2	1	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.13	-0.44	0.80	2009, 2011
PDE12	ENST00000311180.8	phosphodiesterase 12 	326	1	0	1	0	0	0	0	0	2	hsa-miR-155-5p	-0.13	-0.21	0.23	2007
